source_file,family_id,seed,method,alpha,binary_weight,shuffle_family_labels,score_mode,auc_as_reported,positive_score_mean,negative_score_mean,score_gap_pos_minus_neg,heldout_positive_count,negative_count,scoring_matches_label_direction,auc_seen_family_direction,test_negatives_excluded_from_training,centroids_built_from_test_negative_families,is_posthoc
P1_alpha_ablation,ggbet,42,A1_only_binary,0.0,1.0,False,binary,0.55,0.8429277539253235,0.8095909357070923,0.0333368182182312,10,10,True,0.55,False,False,True
P1_alpha_ablation,ggbet,43,A1_only_binary,0.0,1.0,False,binary,0.79,0.9541627168655396,0.8668323755264282,0.0873303413391113,10,10,True,0.79,False,False,True
P1_alpha_ablation,ggbet,44,A1_only_binary,0.0,1.0,False,binary,0.59,0.8903589248657227,0.8713628649711609,0.0189960598945617,10,10,True,0.59,False,False,True
P1_alpha_ablation,ggbet,45,A1_only_binary,0.0,1.0,False,binary,0.62,0.8010004758834839,0.7545033693313599,0.046497106552124,10,10,True,0.62,False,False,True
P1_alpha_ablation,ggbet,46,A1_only_binary,0.0,1.0,False,binary,0.55,0.9104453921318054,0.824001133441925,0.0864442586898803,10,10,True,0.55,False,False,True
P1_alpha_ablation,ggbet,42,A2_main,0.5,1.0,False,metric,0.37,0.9693187475204468,0.982369065284729,-0.0130503177642822,10,10,False,0.63,False,True,True
P1_alpha_ablation,ggbet,43,A2_main,0.5,1.0,False,metric,0.0,0.8437067270278931,0.971967875957489,-0.1282611489295959,10,10,False,1.0,False,True,True
P1_alpha_ablation,ggbet,44,A2_main,0.5,1.0,False,metric,0.0,0.6862137913703918,0.9562582969665528,-0.2700445055961609,10,10,False,1.0,False,True,True
P1_alpha_ablation,ggbet,45,A2_main,0.5,1.0,False,metric,0.0199999999999999,0.6417058110237122,0.973759949207306,-0.3320541381835937,10,10,False,0.9800000000000001,False,True,True
P1_alpha_ablation,ggbet,46,A2_main,0.5,1.0,False,metric,0.0,0.6546549797058105,0.959559440612793,-0.3049044609069824,10,10,False,1.0,False,True,True
P1_alpha_ablation,ggbet,42,A3_only_supcon,1.0,0.0,False,metric,0.41,0.974514365196228,0.97942715883255,-0.004912793636322,10,10,False,0.5900000000000001,False,True,True
P1_alpha_ablation,ggbet,43,A3_only_supcon,1.0,0.0,False,metric,0.0,0.8807275891304016,0.9777534604072572,-0.0970258712768554,10,10,False,1.0,False,True,True
P1_alpha_ablation,ggbet,44,A3_only_supcon,1.0,0.0,False,metric,0.0,0.7061678767204285,0.9681369662284852,-0.2619690895080566,10,10,False,1.0,False,True,True
P1_alpha_ablation,ggbet,45,A3_only_supcon,1.0,0.0,False,metric,0.0,0.5552617311477661,0.9736621975898744,-0.4184004664421081,10,10,False,1.0,False,True,True
