config_id,transfer_id,seed,audit_type,domain_role,num_overlapping_groups,num_rows,num_groups,is_posthoc
C9_infra_edges_only,T2_PH,43,group_overlap,source,0,325,307,True
C9_infra_edges_only,T2_PH,43,group_overlap,target,0,33,26,True
C1_full,T2_PH,44,group_overlap,source,0,325,307,True
C1_full,T2_PH,44,group_overlap,target,0,33,26,True
C2_no_cctld,T2_PH,44,group_overlap,source,0,325,307,True
C2_no_cctld,T2_PH,44,group_overlap,target,0,33,26,True
C3_no_website_lexical,T2_PH,44,group_overlap,source,0,325,307,True
C3_no_website_lexical,T2_PH,44,group_overlap,target,0,33,26,True
C4_graph_only,T2_PH,44,group_overlap,source,0,325,307,True
C4_graph_only,T2_PH,44,group_overlap,target,0,33,26,True
C5_lex_only,T2_PH,44,group_overlap,source,0,325,307,True
C5_lex_only,T2_PH,44,group_overlap,target,0,33,26,True
C6_no_edges,T2_PH,44,group_overlap,source,0,325,307,True
C6_no_edges,T2_PH,44,group_overlap,target,0,33,26,True
C7_no_cert_edge,T2_PH,44,group_overlap,source,0,325,307,True
C7_no_cert_edge,T2_PH,44,group_overlap,target,0,33,26,True
C8_no_registrar_edge,T2_PH,44,group_overlap,source,0,325,307,True
C8_no_registrar_edge,T2_PH,44,group_overlap,target,0,33,26,True
C9_infra_edges_only,T2_PH,44,group_overlap,source,0,325,307,True
C9_infra_edges_only,T2_PH,44,group_overlap,target,0,33,26,True
C1_full,T2_PH,45,group_overlap,source,0,325,307,True
C1_full,T2_PH,45,group_overlap,target,0,33,26,True
C2_no_cctld,T2_PH,45,group_overlap,source,0,325,307,True
C2_no_cctld,T2_PH,45,group_overlap,target,0,33,26,True
C3_no_website_lexical,T2_PH,45,group_overlap,source,0,325,307,True
C3_no_website_lexical,T2_PH,45,group_overlap,target,0,33,26,True
C4_graph_only,T2_PH,45,group_overlap,source,0,325,307,True
C4_graph_only,T2_PH,45,group_overlap,target,0,33,26,True
C5_lex_only,T2_PH,45,group_overlap,source,0,325,307,True
C5_lex_only,T2_PH,45,group_overlap,target,0,33,26,True
C6_no_edges,T2_PH,45,group_overlap,source,0,325,307,True
C6_no_edges,T2_PH,45,group_overlap,target,0,33,26,True
C7_no_cert_edge,T2_PH,45,group_overlap,source,0,325,307,True
C7_no_cert_edge,T2_PH,45,group_overlap,target,0,33,26,True
C8_no_registrar_edge,T2_PH,45,group_overlap,source,0,325,307,True
C8_no_registrar_edge,T2_PH,45,group_overlap,target,0,33,26,True
C9_infra_edges_only,T2_PH,45,group_overlap,source,0,325,307,True
C9_infra_edges_only,T2_PH,45,group_overlap,target,0,33,26,True
C1_full,T2_PH,46,group_overlap,source,0,325,307,True
C1_full,T2_PH,46,group_overlap,target,0,33,26,True
C2_no_cctld,T2_PH,46,group_overlap,source,0,325,307,True
C2_no_cctld,T2_PH,46,group_overlap,target,0,33,26,True
C3_no_website_lexical,T2_PH,46,group_overlap,source,0,325,307,True
C3_no_website_lexical,T2_PH,46,group_overlap,target,0,33,26,True
C4_graph_only,T2_PH,46,group_overlap,source,0,325,307,True
C4_graph_only,T2_PH,46,group_overlap,target,0,33,26,True
C5_lex_only,T2_PH,46,group_overlap,source,0,325,307,True
C5_lex_only,T2_PH,46,group_overlap,target,0,33,26,True
C6_no_edges,T2_PH,46,group_overlap,source,0,325,307,True
C6_no_edges,T2_PH,46,group_overlap,target,0,33,26,True
C7_no_cert_edge,T2_PH,46,group_overlap,source,0,325,307,True
C7_no_cert_edge,T2_PH,46,group_overlap,target,0,33,26,True
C8_no_registrar_edge,T2_PH,46,group_overlap,source,0,325,307,True
C8_no_registrar_edge,T2_PH,46,group_overlap,target,0,33,26,True
C9_infra_edges_only,T2_PH,46,group_overlap,source,0,325,307,True
C9_infra_edges_only,T2_PH,46,group_overlap,target,0,33,26,True
C1_full,T2_ON,42,group_overlap,source,0,325,307,True
C1_full,T2_ON,42,group_overlap,target,0,58,58,True
C2_no_cctld,T2_ON,42,group_overlap,source,0,325,307,True
C2_no_cctld,T2_ON,42,group_overlap,target,0,58,58,True
C3_no_website_lexical,T2_ON,42,group_overlap,source,0,325,307,True
C3_no_website_lexical,T2_ON,42,group_overlap,target,0,58,58,True
C4_graph_only,T2_ON,42,group_overlap,source,0,325,307,True
C4_graph_only,T2_ON,42,group_overlap,target,0,58,58,True
C5_lex_only,T2_ON,42,group_overlap,source,0,325,307,True
C5_lex_only,T2_ON,42,group_overlap,target,0,58,58,True
C6_no_edges,T2_ON,42,group_overlap,source,0,325,307,True
C6_no_edges,T2_ON,42,group_overlap,target,0,58,58,True
C7_no_cert_edge,T2_ON,42,group_overlap,source,0,325,307,True
C7_no_cert_edge,T2_ON,42,group_overlap,target,0,58,58,True
C8_no_registrar_edge,T2_ON,42,group_overlap,source,0,325,307,True
C8_no_registrar_edge,T2_ON,42,group_overlap,target,0,58,58,True
C9_infra_edges_only,T2_ON,42,group_overlap,source,0,325,307,True
C9_infra_edges_only,T2_ON,42,group_overlap,target,0,58,58,True
C1_full,T2_ON,43,group_overlap,source,0,325,307,True
C1_full,T2_ON,43,group_overlap,target,0,58,58,True
C2_no_cctld,T2_ON,43,group_overlap,source,0,325,307,True
C2_no_cctld,T2_ON,43,group_overlap,target,0,58,58,True
C3_no_website_lexical,T2_ON,43,group_overlap,source,0,325,307,True
C3_no_website_lexical,T2_ON,43,group_overlap,target,0,58,58,True
C4_graph_only,T2_ON,43,group_overlap,source,0,325,307,True
C4_graph_only,T2_ON,43,group_overlap,target,0,58,58,True
C5_lex_only,T2_ON,43,group_overlap,source,0,325,307,True
C5_lex_only,T2_ON,43,group_overlap,target,0,58,58,True
C6_no_edges,T2_ON,43,group_overlap,source,0,325,307,True
C6_no_edges,T2_ON,43,group_overlap,target,0,58,58,True
C7_no_cert_edge,T2_ON,43,group_overlap,source,0,325,307,True
C7_no_cert_edge,T2_ON,43,group_overlap,target,0,58,58,True
C8_no_registrar_edge,T2_ON,43,group_overlap,source,0,325,307,True
C8_no_registrar_edge,T2_ON,43,group_overlap,target,0,58,58,True
C9_infra_edges_only,T2_ON,43,group_overlap,source,0,325,307,True
C9_infra_edges_only,T2_ON,43,group_overlap,target,0,58,58,True
C1_full,T2_ON,44,group_overlap,source,0,325,307,True
C1_full,T2_ON,44,group_overlap,target,0,58,58,True
C2_no_cctld,T2_ON,44,group_overlap,source,0,325,307,True
C2_no_cctld,T2_ON,44,group_overlap,target,0,58,58,True
C3_no_website_lexical,T2_ON,44,group_overlap,source,0,325,307,True
C3_no_website_lexical,T2_ON,44,group_overlap,target,0,58,58,True
C4_graph_only,T2_ON,44,group_overlap,source,0,325,307,True
C4_graph_only,T2_ON,44,group_overlap,target,0,58,58,True
C5_lex_only,T2_ON,44,group_overlap,source,0,325,307,True
C5_lex_only,T2_ON,44,group_overlap,target,0,58,58,True
C6_no_edges,T2_ON,44,group_overlap,source,0,325,307,True
C6_no_edges,T2_ON,44,group_overlap,target,0,58,58,True
C7_no_cert_edge,T2_ON,44,group_overlap,source,0,325,307,True
C7_no_cert_edge,T2_ON,44,group_overlap,target,0,58,58,True
C8_no_registrar_edge,T2_ON,44,group_overlap,source,0,325,307,True
C8_no_registrar_edge,T2_ON,44,group_overlap,target,0,58,58,True
C9_infra_edges_only,T2_ON,44,group_overlap,source,0,325,307,True
C9_infra_edges_only,T2_ON,44,group_overlap,target,0,58,58,True
C1_full,T2_ON,45,group_overlap,source,0,325,307,True
C1_full,T2_ON,45,group_overlap,target,0,58,58,True
C2_no_cctld,T2_ON,45,group_overlap,source,0,325,307,True
C2_no_cctld,T2_ON,45,group_overlap,target,0,58,58,True
C3_no_website_lexical,T2_ON,45,group_overlap,source,0,325,307,True
C3_no_website_lexical,T2_ON,45,group_overlap,target,0,58,58,True
C4_graph_only,T2_ON,45,group_overlap,source,0,325,307,True
C4_graph_only,T2_ON,45,group_overlap,target,0,58,58,True
C5_lex_only,T2_ON,45,group_overlap,source,0,325,307,True
C5_lex_only,T2_ON,45,group_overlap,target,0,58,58,True
C6_no_edges,T2_ON,45,group_overlap,source,0,325,307,True
C6_no_edges,T2_ON,45,group_overlap,target,0,58,58,True
C7_no_cert_edge,T2_ON,45,group_overlap,source,0,325,307,True
C7_no_cert_edge,T2_ON,45,group_overlap,target,0,58,58,True
C8_no_registrar_edge,T2_ON,45,group_overlap,source,0,325,307,True
C8_no_registrar_edge,T2_ON,45,group_overlap,target,0,58,58,True
C9_infra_edges_only,T2_ON,45,group_overlap,source,0,325,307,True
C9_infra_edges_only,T2_ON,45,group_overlap,target,0,58,58,True
C1_full,T2_ON,46,group_overlap,source,0,325,307,True
C1_full,T2_ON,46,group_overlap,target,0,58,58,True
