transfer_id,method,seed,iteration,target_adapt_size,num_confident_pseudo_labels,pseudo_label_coverage,pseudo_label_quality,pseudo_positive_rate,mean_confidence,confidence_threshold,mean_entropy,selection_strategy,entropy_top_fraction
T1_Nordic,strurw,42,1,46,14,0.30434782608695654,0.21428571428571427,0.21428571428571427,0.9999725849420916,0.7,0.0004194706774315059,entropy_top_fraction,0.3
T1_Nordic,strurw,42,2,46,14,0.30434782608695654,0.0,0.0,0.9999998370963995,0.7,5.043440469597258e-06,entropy_top_fraction,0.3
T1_Nordic,dann_strurw,42,1,46,14,0.30434782608695654,0.21428571428571427,0.21428571428571427,0.9999725849420916,0.7,0.0004194706774315059,entropy_top_fraction,0.3
T1_Nordic,dann_strurw,42,2,46,14,0.30434782608695654,0.0,0.0,0.9999998370963995,0.7,5.043440469597258e-06,entropy_top_fraction,0.3
T1_Nordic,strurw,43,1,46,14,0.30434782608695654,0.6428571428571429,0.6428571428571429,0.9971976476122758,0.7,0.026100695045621965,entropy_top_fraction,0.3
T1_Nordic,strurw,43,2,46,14,0.30434782608695654,0.35714285714285715,0.35714285714285715,0.9987023738420768,0.7,0.014027639249380663,entropy_top_fraction,0.3
T1_Nordic,dann_strurw,43,1,46,14,0.30434782608695654,0.6428571428571429,0.6428571428571429,0.9971976476122758,0.7,0.026100695045621965,entropy_top_fraction,0.3
T1_Nordic,dann_strurw,43,2,46,14,0.30434782608695654,0.35714285714285715,0.35714285714285715,0.9987023738420768,0.7,0.014027639249380663,entropy_top_fraction,0.3
T1_Nordic,strurw,44,1,46,14,0.30434782608695654,0.7857142857142857,0.7857142857142857,0.999836558280679,0.7,0.0020739244116191077,entropy_top_fraction,0.3
T1_Nordic,strurw,44,2,46,14,0.30434782608695654,0.7857142857142857,0.7857142857142857,0.9997858003729821,0.7,0.002767119143126832,entropy_top_fraction,0.3
T1_Nordic,dann_strurw,44,1,46,14,0.30434782608695654,0.7857142857142857,0.7857142857142857,0.999836558280679,0.7,0.0020739244116191077,entropy_top_fraction,0.3
T1_Nordic,dann_strurw,44,2,46,14,0.30434782608695654,0.7857142857142857,0.7857142857142857,0.9997858003729821,0.7,0.002767119143126832,entropy_top_fraction,0.3
T1_Nordic,strurw,45,1,46,14,0.30434782608695654,0.5714285714285714,0.5714285714285714,0.9998649821336585,0.7,0.0017764141910108515,entropy_top_fraction,0.3
T1_Nordic,strurw,45,2,46,14,0.30434782608695654,0.5714285714285714,0.5714285714285714,0.9998426214208719,0.7,0.002052793017652489,entropy_top_fraction,0.3
T1_Nordic,dann_strurw,45,1,46,14,0.30434782608695654,0.5714285714285714,0.5714285714285714,0.9998649821336585,0.7,0.0017764141910108515,entropy_top_fraction,0.3
T1_Nordic,dann_strurw,45,2,46,14,0.30434782608695654,0.5714285714285714,0.5714285714285714,0.9998426214208719,0.7,0.002052793017652489,entropy_top_fraction,0.3
T1_Nordic,strurw,46,1,46,14,0.30434782608695654,0.35714285714285715,0.35714285714285715,0.9994685727828515,0.7,0.006176369305640171,entropy_top_fraction,0.3
T1_Nordic,strurw,46,2,46,14,0.30434782608695654,0.35714285714285715,0.35714285714285715,0.9999766340906068,0.7,0.0003769413906062567,entropy_top_fraction,0.3
T1_Nordic,dann_strurw,46,1,46,14,0.30434782608695654,0.35714285714285715,0.35714285714285715,0.9994685727828515,0.7,0.006176369305640171,entropy_top_fraction,0.3
T1_Nordic,dann_strurw,46,2,46,14,0.30434782608695654,0.35714285714285715,0.35714285714285715,0.9999766340906068,0.7,0.0003769413906062567,entropy_top_fraction,0.3
T2_PH,strurw,42,1,19,6,0.3157894736842105,0.5,0.16666666666666666,0.936999917277717,0.7,0.2878319424079386,entropy_top_fraction,0.3
T2_PH,strurw,42,2,19,6,0.3157894736842105,0.8333333333333334,0.0,0.9911583513492248,0.7,0.0638581974215703,entropy_top_fraction,0.3
T2_PH,dann_strurw,42,1,19,6,0.3157894736842105,0.5,0.16666666666666666,0.936999917277717,0.7,0.2878319424079386,entropy_top_fraction,0.3
T2_PH,dann_strurw,42,2,19,6,0.3157894736842105,0.8333333333333334,0.0,0.9911583513492248,0.7,0.0638581974215703,entropy_top_fraction,0.3
T2_PH,strurw,43,1,19,6,0.3157894736842105,0.6666666666666666,0.0,0.9555126785465594,0.7,0.2325590308925872,entropy_top_fraction,0.3
T2_PH,strurw,43,2,19,6,0.3157894736842105,0.6666666666666666,0.16666666666666666,0.9527198638315895,0.7,0.23781781719537143,entropy_top_fraction,0.3
T2_PH,dann_strurw,43,1,19,6,0.3157894736842105,0.6666666666666666,0.0,0.9555126785465594,0.7,0.2325590308925872,entropy_top_fraction,0.3
T2_PH,dann_strurw,43,2,19,6,0.3157894736842105,0.6666666666666666,0.16666666666666666,0.9527198638315895,0.7,0.23781781719537143,entropy_top_fraction,0.3
T2_PH,strurw,44,1,19,6,0.3157894736842105,0.6666666666666666,0.0,0.962392078474295,0.7,0.21366684647009335,entropy_top_fraction,0.3
T2_PH,strurw,44,2,19,6,0.3157894736842105,0.8333333333333334,0.0,0.9797077982391779,0.7,0.12770902377823554,entropy_top_fraction,0.3
T2_PH,dann_strurw,44,1,19,6,0.3157894736842105,0.6666666666666666,0.0,0.962392078474295,0.7,0.21366684647009335,entropy_top_fraction,0.3
T2_PH,dann_strurw,44,2,19,6,0.3157894736842105,0.8333333333333334,0.0,0.9797077982391779,0.7,0.12770902377823554,entropy_top_fraction,0.3
T2_PH,strurw,45,1,19,6,0.3157894736842105,1.0,0.0,0.9981834867821817,0.7,0.015820456601993774,entropy_top_fraction,0.3
T2_PH,strurw,45,2,19,6,0.3157894736842105,1.0,0.0,0.998387567360335,0.7,0.015454565164841819,entropy_top_fraction,0.3
T2_PH,dann_strurw,45,1,19,6,0.3157894736842105,1.0,0.0,0.9981834867821817,0.7,0.015820456601993774,entropy_top_fraction,0.3
T2_PH,dann_strurw,45,2,19,6,0.3157894736842105,1.0,0.0,0.998387567360335,0.7,0.015454565164841819,entropy_top_fraction,0.3
T2_PH,strurw,46,1,19,6,0.3157894736842105,1.0,0.16666666666666666,0.9776157038018786,0.7,0.13048347187616693,entropy_top_fraction,0.3
T2_PH,strurw,46,2,19,6,0.3157894736842105,0.8333333333333334,0.0,0.9810685415631207,0.7,0.10909197167557128,entropy_top_fraction,0.3
T2_PH,dann_strurw,46,1,19,6,0.3157894736842105,1.0,0.16666666666666666,0.9776157038018786,0.7,0.13048347187616693,entropy_top_fraction,0.3
T2_PH,dann_strurw,46,2,19,6,0.3157894736842105,0.8333333333333334,0.0,0.9810685415631207,0.7,0.10909197167557128,entropy_top_fraction,0.3
T2_ON,strurw,42,1,34,11,0.3235294117647059,0.9090909090909091,0.09090909090909091,0.9532155438580296,0.7,0.26871237549412813,entropy_top_fraction,0.3
