created_at_utc,transfer_id,method,seed,source_size,target_size,source_train_size,source_val_size,target_test_size,source_train_auc,source_val_auc,target_test_auc,target_pr_auc,target_balanced_acc,target_macro_f1,target_licensed_consistency,target_illegal_consistency,target_mean_pred_illegal,target_label_class_count,target_has_complete_binary_labels,configured_primary_metric,effective_primary_metric,primary_metric_value,threshold,domain_acc_final,pseudo_label_quality,best_epoch,best_source_val_score,runtime_s,wall_runtime_s,target_illegal_recall_at_youden,primary_metric_direction,selection_policy,best_state_min_epoch,trained_epochs,force_full_epochs,purpose
2026-04-28T07:40:02.365313+00:00,T1_Nordic,dann,42,100,77,80,20,31,1.0,1.0,,,0.1612903225806451,0.1388888888888889,,0.1612903225806451,0.1809959729821462,1,False,illegal_recall_at_youden,illegal_recall_at_youden,0.1612903225806451,0.6247928738594055,0.6428571343421936,,200,1.0,10.355459928512571,10.524681568145752,0.1612903225806451,higher_is_better,best_source_val_after_dann_warmup,20.0,200.0,False,classifier
2026-04-28T07:40:13.118094+00:00,T1_Nordic,dann,43,100,77,80,20,31,1.0,1.0,,,0.2903225806451613,0.225,,0.2903225806451613,0.3911164688261527,1,False,illegal_recall_at_youden,illegal_recall_at_youden,0.2903225806451613,0.9999666213989258,0.5873016119003296,,200,1.0,10.382542371749878,10.546472311019896,0.2903225806451613,higher_is_better,best_source_val_after_dann_warmup,20.0,200.0,False,classifier
2026-04-28T07:40:24.488047+00:00,T1_Nordic,dann,44,100,77,80,20,31,1.0,1.0,,,0.2258064516129032,0.1842105263157894,,0.2258064516129032,0.2948971259877233,1,False,illegal_recall_at_youden,illegal_recall_at_youden,0.2258064516129032,1.0,0.6269841194152832,,200,1.0,11.000224590301514,11.16666316986084,0.2258064516129032,higher_is_better,best_source_val_after_dann_warmup,20.0,200.0,False,classifier
2026-04-28T07:40:28.939124+00:00,T1_Nordic,dann,45,100,77,80,20,31,0.9965059399021664,0.8791208791208791,,,0.3225806451612903,0.2439024390243902,,0.3225806451612903,0.2697956404843998,1,False,illegal_recall_at_youden,illegal_recall_at_youden,0.3225806451612903,0.2055689692497253,0.7222222089767456,,24,0.8791208791208791,4.007125377655029,4.208894491195679,0.3225806451612903,higher_is_better,best_source_val_after_dann_warmup,20.0,80.0,False,classifier
2026-04-28T07:40:40.177844+00:00,T1_Nordic,dann,46,100,77,80,20,31,1.0,1.0,,,0.3548387096774194,0.2619047619047619,,0.3548387096774194,0.3506553557384161,1,False,illegal_recall_at_youden,illegal_recall_at_youden,0.3548387096774194,0.1181903183460235,0.6349206566810608,,200,1.0,10.845794200897217,11.01919960975647,0.3548387096774194,higher_is_better,best_source_val_after_dann_warmup,20.0,200.0,False,classifier
2026-04-28T07:43:52.026912+00:00,T1_Nordic,dann_strurw,42,100,77,80,20,31,1.0,1.0,,,0.3548387096774194,0.2619047619047619,,0.3548387096774194,0.3871125671294631,1,False,illegal_recall_at_youden,illegal_recall_at_youden,0.3548387096774194,1.0,0.6269841194152832,0.0,200,1.0,11.936575412750244,21.351309537887573,0.3548387096774194,higher_is_better,best_source_val_after_dann_warmup,20.0,200.0,True,final_classifier
2026-04-28T07:44:35.373571+00:00,T1_Nordic,dann_strurw,43,100,77,80,20,31,1.0,1.0,,,0.22580645161290322,0.18421052631578946,,0.22580645161290322,0.357854387203104,1,False,illegal_recall_at_youden,illegal_recall_at_youden,0.22580645161290322,0.9997723698616028,0.6428571343421936,0.35714285714285715,200,1.0,11.401695728302002,21.412687301635742,0.22580645161290322,higher_is_better,best_source_val_after_dann_warmup,20.0,200.0,True,final_classifier
2026-04-28T07:45:18.582091+00:00,T1_Nordic,dann_strurw,44,100,77,80,20,31,1.0,1.0,,,0.22580645161290322,0.18421052631578946,,0.22580645161290322,0.2715582444336006,1,False,illegal_recall_at_youden,illegal_recall_at_youden,0.22580645161290322,1.0,0.6349206566810608,0.7857142857142857,200,1.0,12.059085130691528,21.900275707244873,0.22580645161290322,higher_is_better,best_source_val_after_dann_warmup,20.0,200.0,True,final_classifier
2026-04-28T07:45:49.864254+00:00,T1_Nordic,dann_strurw,45,100,77,80,20,31,1.0,0.9230769230769231,,,0.12903225806451613,0.11428571428571428,,0.12903225806451613,0.12612488973230263,1,False,illegal_recall_at_youden,illegal_recall_at_youden,0.12903225806451613,0.44732916355133057,0.6349206566810608,0.5714285714285714,82,0.9230769230769231,10.71281385421753,15.672807216644287,0.12903225806451613,higher_is_better,best_source_val_after_dann_warmup,20.0,200.0,True,final_classifier
2026-04-28T07:46:32.621939+00:00,T1_Nordic,dann_strurw,46,100,77,80,20,31,1.0,1.0,,,0.3548387096774194,0.2619047619047619,,0.3548387096774194,0.3592702868271882,1,False,illegal_recall_at_youden,illegal_recall_at_youden,0.3548387096774194,0.9822284579277039,0.6349206566810608,0.35714285714285715,200,1.0,11.54231309890747,21.34761142730713,0.3548387096774194,higher_is_better,best_source_val_after_dann_warmup,20.0,200.0,True,final_classifier
