transfer_id,method,num_runs,primary_metric_value_mean,primary_metric_value_std,target_test_auc_mean,target_test_auc_std,target_pr_auc_mean,target_pr_auc_std,target_balanced_acc_mean,target_balanced_acc_std,target_licensed_consistency_mean,target_licensed_consistency_std,target_illegal_consistency_mean,target_illegal_consistency_std,target_illegal_recall_at_youden_mean,target_illegal_recall_at_youden_std,target_mean_pred_illegal_mean,target_mean_pred_illegal_std
T1_Nordic,dann,5,0.2709677419354838,0.06948599751141299,,,,,0.2709677419354838,0.06948599751141299,,,0.2709677419354838,0.06948599751141299,0.2709677419354838,0.06948599751141299,0.2974921128037676,0.07202364829524603
T1_Nordic,dann_strurw,5,0.2580645161290323,0.08655747009676606,,,,,0.2580645161290323,0.08655747009676606,,,0.2580645161290323,0.08655747009676606,0.2580645161290323,0.08655747009676606,0.3003840750651317,0.09538285614630494
T1_Nordic,source_only,5,0.2064516129032258,0.10522262213096834,,,,,0.2064516129032258,0.10522262213096834,,,0.2064516129032258,0.10522262213096834,0.2064516129032258,0.10522262213096834,0.32988973501995905,0.1278493449580676
T1_Nordic,strurw,5,0.14193548387096772,0.032896900087695385,,,,,0.14193548387096772,0.032896900087695385,,,0.14193548387096772,0.032896900087695385,0.14193548387096772,0.032896900087695385,0.3295971639582454,0.15685534950246735
T2_ON,dann,5,0.3596254943407681,0.02493458085474754,,,,,0.5666666666666667,0.07264831572567791,0.5666666666666667,0.07264831572567791,,,,,0.3596254943407681,0.02493458085474754
T2_ON,dann_strurw,5,0.024269451234279184,0.03272456255083549,,,,,0.9916666666666668,0.016666666666666653,0.9916666666666668,0.016666666666666653,,,,,0.024269451234279184,0.03272456255083549
T2_ON,source_only,5,0.30275969002754055,0.051183079598779276,,,,,0.6166666666666667,0.055277079839256685,0.6166666666666667,0.055277079839256685,,,,,0.30275969002754055,0.051183079598779276
T2_ON,strurw,5,0.0002667256255397617,0.0001761471057570198,,,,,1.0,0.0,1.0,0.0,,,,,0.0002667256255397617,0.0001761471057570198
T2_PH,dann,5,0.5375,0.13333333333333333,0.5375,0.13333333333333333,0.5374489399489399,0.10644211502651228,0.5458333333333334,0.12527746981977422,0.625,0.15811388300841897,0.4666666666666666,0.19436506316151003,0.4666666666666666,0.19436506316151003,0.3656224696849679,0.061922376895444636
T2_PH,dann_strurw,5,0.7458333333333333,0.17300449576688912,0.7458333333333333,0.17300449576688912,0.7586935286935287,0.16114419848973868,0.7,0.16488632447841148,0.8,0.2806243040080456,0.6000000000000001,0.27080128015453203,0.6000000000000001,0.27080128015453203,0.2504674412057827,0.0875264149027565
T2_PH,source_only,5,0.6416666666666666,0.12247448713915891,0.6416666666666666,0.12247448713915891,0.6036061161061161,0.10042717606746404,0.5666666666666667,0.16319296689638452,0.6,0.09354143466934853,0.5333333333333333,0.3231786571610886,0.5333333333333333,0.3231786571610886,0.37928552379992325,0.05735521811177502
T2_PH,strurw,5,0.6458333333333334,0.20241596335818532,0.6458333333333334,0.20241596335818532,0.7006195656195656,0.17822693092209418,0.5916666666666666,0.07971302695712079,0.95,0.06123724356957945,0.2333333333333333,0.2,0.2333333333333333,0.2,0.16159230863486462,0.10033156992397929
T3_DiagnoseFrance,dann,5,0.9748271604938271,0.03196635557959812,0.9748271604938271,0.03196635557959812,0.9779401170743377,0.03607948910493028,0.8981286549707603,0.07063394316972717,0.9800000000000001,0.03999999999999999,0.8162573099415205,0.1081957638410866,0.8162573099415205,0.1081957638410866,0.6271297234958669,0.02330424484943214
T3_DiagnoseFrance,dann_strurw,5,0.9750617283950618,0.03376411173981964,0.9750617283950618,0.03376411173981964,0.975589342245302,0.04166417254921614,0.8694444444444445,0.10947405126894028,0.96,0.04898979485566354,0.7788888888888889,0.20304472535337417,0.7788888888888889,0.20304472535337417,0.6327131265996802,0.030943339507096528
T3_DiagnoseFrance,source_only,5,0.9861234567901235,0.01857880721217654,0.9861234567901235,0.01857880721217654,0.9940739348370927,0.007430461034314591,0.8911988304093568,0.027250520777863184,1.0,0.0,0.7823976608187135,0.0545010415557263,0.7823976608187135,0.0545010415557263,0.6655172481424393,0.05720085134570146
T3_DiagnoseFrance,strurw,5,0.9904782326185835,0.005946366133560348,0.9904782326185835,0.005946366133560348,0.9954747854484698,0.0028419858304407327,0.8212865497076024,0.10681957690513086,1.0,0.0,0.6425730994152046,0.21363915381026177,0.6425730994152046,0.21363915381026177,0.6204894913493744,0.07858207293420429
