task,model,seed,created_at_utc,roc_auc,pr_auc,balanced_accuracy,macro_f1,threshold,val_roc_auc
transfer_pooled_to_france,dann,42,2026-04-24T07:19:30.818569+00:00,0.9,0.9547934867533203,0.8184210526315789,0.7867647058823529,0.24054408073425293,0.86
transfer_pooled_to_france,dann,43,2026-04-24T07:19:34.156880+00:00,0.9526315789473684,0.983082706766917,0.9473684210526316,0.9267676767676767,0.1762022227048874,1.0
transfer_pooled_to_france,dann,44,2026-04-24T07:19:38.283244+00:00,0.9263157894736842,0.9705680699381989,0.8736842105263158,0.8825910931174089,0.11313635110855103,1.0
transfer_pooled_to_france,dann,45,2026-04-24T07:19:41.723977+00:00,0.9684210526315788,0.9840329315642984,0.9236842105263158,0.9236842105263158,0.3599853813648224,1.0
transfer_pooled_to_france,dann,46,2026-04-24T07:19:45.132488+00:00,0.9210526315789473,0.9308207197994551,0.95,0.9608636977058029,0.31415361166000366,1.0
transfer_pooled_to_france,source_only,42,2026-04-24T07:19:28.871752+00:00,0.9736842105263157,0.9890350877192982,0.9736842105263157,0.9626769626769627,0.05951140820980072,0.9800000000000001
transfer_pooled_to_france,source_only,43,2026-04-24T07:19:32.468594+00:00,0.9894736842105264,0.9949874686716789,0.9473684210526316,0.9267676767676767,0.22406622767448425,1.0
transfer_pooled_to_france,source_only,44,2026-04-24T07:19:36.157507+00:00,0.9315789473684211,0.9730611447304427,0.9236842105263158,0.9236842105263158,0.17272967100143433,1.0
transfer_pooled_to_france,source_only,45,2026-04-24T07:19:40.152764+00:00,0.963157894736842,0.980743457880088,0.9236842105263158,0.9236842105263158,0.18213558197021484,1.0
transfer_pooled_to_france,source_only,46,2026-04-24T07:19:43.413738+00:00,0.9157894736842106,0.9202944040099816,0.75,0.7751937984496124,0.22092263400554657,1.0
