task,model,created_at_utc,roc_auc,pr_auc,balanced_accuracy,macro_f1,threshold,val_roc_auc,seed,fold,jurisdiction_eval
same_region_sensitivity,hetero_gnn,2026-04-24T07:18:58.434645+00:00,1.0,1.0,1.0,1.0,0.4982926845550537,0.7916666666666666,44,2,Philippines
same_region_sensitivity,hetero_gnn,2026-04-24T07:18:59.993828+00:00,0.8333333333333333,0.8666666666666667,0.8333333333333333,0.8444444444444444,0.45790114998817444,1.0,45,3,Philippines
same_region_sensitivity,hetero_gnn,2026-04-24T07:19:01.499213+00:00,0.5,0.41666666666666663,0.25,0.25,0.5016368627548218,1.0,46,4,Philippines
same_region_sensitivity,hetero_gnn,2026-04-24T07:19:02.983997+00:00,0.7777777777777778,0.8666666666666667,0.5,0.3333333333333333,0.5114038586616516,1.0,47,5,Philippines
same_region_sensitivity,logistic_regression,2026-04-24T07:18:54.928106+00:00,0.9583333333333333,0.9166666666666665,0.5,0.36363636363636365,0.9135704854460064,1.0,43,1,Philippines
same_region_sensitivity,logistic_regression,2026-04-24T07:18:56.484728+00:00,1.0,1.0,1.0,1.0,0.4574899031493782,0.9583333333333333,44,2,Philippines
same_region_sensitivity,logistic_regression,2026-04-24T07:18:58.477666+00:00,0.8333333333333333,0.8666666666666667,0.8333333333333333,0.8444444444444444,0.7687586450299476,1.0,45,3,Philippines
same_region_sensitivity,logistic_regression,2026-04-24T07:19:00.034212+00:00,1.0,1.0,0.75,0.7777777777777777,0.9593664525763768,1.0,46,4,Philippines
same_region_sensitivity,logistic_regression,2026-04-24T07:19:01.533134+00:00,1.0,1.0,0.5,0.3333333333333333,0.9819820008059872,1.0,47,5,Philippines
same_region_sensitivity,mlp,2026-04-24T07:18:55.131088+00:00,0.875,0.8055555555555556,0.5,0.36363636363636365,0.5498597025871277,1.0,43,1,Philippines
same_region_sensitivity,mlp,2026-04-24T07:18:56.918623+00:00,1.0,1.0,1.0,1.0,0.40001529455184937,0.9583333333333333,44,2,Philippines
same_region_sensitivity,mlp,2026-04-24T07:18:58.706121+00:00,0.9166666666666666,0.9166666666666665,0.6666666666666666,0.65,0.5414451360702515,1.0,45,3,Philippines
same_region_sensitivity,mlp,2026-04-24T07:19:00.305690+00:00,0.75,0.75,0.5,0.4857142857142857,0.4506453275680542,1.0,46,4,Philippines
same_region_sensitivity,mlp,2026-04-24T07:19:01.753364+00:00,1.0,1.0,0.8333333333333333,0.8285714285714285,0.5044256448745728,1.0,47,5,Philippines
