task,model,seed,roc_auc,pr_auc,balanced_accuracy,macro_f1,threshold,val_roc_auc,note
pooled_primary_group_aware_reaggregated,hetero_gnn,42,0.9785661492978567,0.9755731736903751,0.8847006651884701,0.8889722430607652,0.5771531462669373,0.9623655913978495,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,hetero_gnn,43,0.9555403556771547,0.9429048272030403,0.8652530779753762,0.8674242424242424,0.7228643298149109,0.9682187730968219,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,hetero_gnn,44,0.9750000000000001,0.9759729370845384,0.9141129032258064,0.9141129032258064,0.6066510081291199,0.9817073170731707,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,hetero_gnn,45,0.9501661129568106,0.9483370188150319,0.8900332225913621,0.8844444444444444,0.3601814210414886,0.9840909090909091,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,hetero_gnn,46,0.7794221282593375,0.7433264964043077,0.737138830162086,0.7072829131652661,0.4798678159713745,0.9106699751861043,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,logistic_regression,42,0.9471544715447154,0.9260757664299218,0.8902439024390244,0.8783561643835616,0.5461092141506783,0.9178187403993856,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,logistic_regression,43,0.8844049247606018,0.8362331979801766,0.8255813953488372,0.804004751399966,0.4874857122599624,0.8847006651884701,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,logistic_regression,44,0.9741935483870967,0.9645063954618429,0.905241935483871,0.9006993006993007,0.5890023330206442,0.8647103658536586,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,logistic_regression,45,0.8435215946843854,0.7985795586638712,0.7774086378737541,0.7692307692307693,0.5590746528383972,0.9303030303030303,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,logistic_regression,46,0.8199436222692037,0.7613897223739882,0.7124735729386893,0.7087108013937282,0.5572548571538187,0.9102564102564102,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,mlp,42,0.9198078344419808,0.9044424379089707,0.8111603843311161,0.7969635997805011,0.4273749589920044,0.9301075268817205,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,mlp,43,0.8734610123119015,0.8170615328932229,0.8372093023255813,0.8174119241192412,0.5129451155662537,0.8869179600886917,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,mlp,44,0.9790322580645161,0.9731894688912499,0.9068548387096774,0.9125615763546798,0.6355272531509399,0.8921493902439025,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,mlp,45,0.8521594684385382,0.8073465099532231,0.7382059800664451,0.7393048128342246,0.6052884459495544,0.959090909090909,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
pooled_primary_group_aware_reaggregated,mlp,46,0.813601127554616,0.763687467357093,0.7286821705426356,0.7301136363636364,0.5611441731452942,0.8945409429280397,Existing Week 4 predictions reaggregated on regenerated operator_or_case group-aware splits; models were not retrained.
