seed,family_a,family_b,cosine_similarity,cosine_distance,is_prerun_frozen
42,bcdot,bcgame,0.9991737604141235,0.0008262395858764648,True
42,bcdot,freshbet,0.9974748492240906,0.002525150775909424,True
42,bcdot,ggbet,0.9968327879905701,0.0031672120094299316,True
42,bcdot,icecasino,0.9951404333114624,0.004859566688537598,True
42,bcdot,tsars,0.9994359612464905,0.0005640387535095215,True
42,bcdot,verdecasino,0.9994357228279114,0.000564277172088623,True
42,bcgame,freshbet,0.9950705766677856,0.0049294233322143555,True
42,bcgame,ggbet,0.9933450222015381,0.006654977798461914,True
42,bcgame,icecasino,0.9922143220901489,0.007785677909851074,True
42,bcgame,tsars,0.9986163973808289,0.0013836026191711426,True
42,bcgame,verdecasino,0.997882604598999,0.0021173954010009766,True
42,freshbet,ggbet,0.9976432919502258,0.00235670804977417,True
42,freshbet,icecasino,0.9953227639198303,0.004677236080169678,True
42,freshbet,tsars,0.997189998626709,0.0028100013732910156,True
42,freshbet,verdecasino,0.9985717535018921,0.0014282464981079102,True
42,ggbet,icecasino,0.9988619089126587,0.0011380910873413086,True
42,ggbet,tsars,0.9959414601325989,0.004058539867401123,True
42,ggbet,verdecasino,0.9984438419342041,0.0015561580657958984,True
42,icecasino,tsars,0.9943870902061462,0.00561290979385376,True
42,icecasino,verdecasino,0.9973615407943726,0.0026384592056274414,True
42,tsars,verdecasino,0.9991933107376099,0.0008066892623901367,True
43,bcdot,bcgame,0.9988098740577698,0.0011901259422302246,True
43,bcdot,freshbet,0.9975067377090454,0.00249326229095459,True
43,bcdot,ggbet,0.9959686398506165,0.004031360149383545,True
43,bcdot,icecasino,0.9912069439888,0.008793056011199951,True
43,bcdot,tsars,0.9915845394134521,0.008415460586547852,True
43,bcdot,verdecasino,0.9880713224411011,0.011928677558898926,True
43,bcgame,freshbet,0.9984140396118164,0.0015859603881835938,True
43,bcgame,ggbet,0.9970362186431885,0.0029637813568115234,True
43,bcgame,icecasino,0.9919655323028564,0.008034467697143555,True
43,bcgame,tsars,0.9920836091041565,0.007916390895843506,True
