created_at_utc,transfer_id,method,seed,source_size,target_size,source_train_size,source_val_size,target_test_size,source_train_auc,source_val_auc,target_test_auc,target_pr_auc,target_balanced_acc,target_macro_f1,target_licensed_consistency,target_illegal_consistency,target_illegal_recall_at_youden,target_mean_pred_illegal,target_label_class_count,target_has_complete_binary_labels,configured_primary_metric,effective_primary_metric,primary_metric_direction,primary_metric_value,threshold,domain_acc_final,pseudo_label_quality,best_epoch,best_source_val_score,selection_policy,best_state_min_epoch,trained_epochs,force_full_epochs,purpose,runtime_s,experiment,config_id,feature_mode,edge_mode,encoder_checkpoint
2026-04-28T15:04:28.145251+00:00,T1_Nordic,source_only,44,100,77,80,20,31,1.0,1.0,,,0.12903225806451613,0.11428571428571428,,0.12903225806451613,0.12903225806451613,0.10666112342322495,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.12903225806451613,0.09673693776130676,,,200,1.0,best_source_val,1,200,False,E5_structure_vs_lexical,14.353214263916016,E5_structure_vs_lexical,C2_no_cctld,no_cctld,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt
2026-04-28T15:04:34.989746+00:00,T1_Nordic,source_only,44,100,77,80,20,31,1.0,1.0,,,0.12903225806451613,0.11428571428571428,,0.12903225806451613,0.12903225806451613,0.030146948270539136,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.12903225806451613,0.13077089190483093,,,75,1.0,best_source_val,1,100,False,E5_structure_vs_lexical,6.523699760437012,E5_structure_vs_lexical,C3_no_lex,lexical_only,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt
2026-04-28T15:04:38.507268+00:00,T1_Nordic,source_only,44,100,77,80,20,31,0.9406009783368273,1.0,,,0.06451612903225806,0.06060606060606061,,0.06451612903225806,0.06451612903225806,0.3006521670087691,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.06451612903225806,0.3269087076187134,,,7,1.0,best_source_val,1,50,False,E5_structure_vs_lexical,3.1830263137817383,E5_structure_vs_lexical,C4_graph_only,zero_all,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt
2026-04-28T15:04:51.019771+00:00,T1_Nordic,source_only,44,100,77,80,20,31,0.9888190076869323,1.0,,,0.22580645161290322,0.18421052631578946,,0.22580645161290322,0.22580645161290322,0.5795990294746814,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.22580645161290322,0.9999717473983765,,,200,1.0,best_source_val,1,200,False,E5_structure_vs_lexical,12.211571216583252,E5_structure_vs_lexical,C5_lex_only,full,empty_all,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt
2026-04-28T15:04:54.675722+00:00,T1_Nordic,source_only,45,100,77,80,20,31,0.9706498951781971,0.901098901098901,,,0.0967741935483871,0.08823529411764706,,0.0967741935483871,0.0967741935483871,0.43836083527534236,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.0967741935483871,0.4426642656326294,,,1,0.901098901098901,best_source_val,1,50,False,E5_structure_vs_lexical,3.2669193744659424,E5_structure_vs_lexical,C1_full,full,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt
2026-04-28T15:04:58.011114+00:00,T1_Nordic,source_only,45,100,77,80,20,31,0.9608665269042628,0.9120879120879121,,,0.0967741935483871,0.08823529411764706,,0.0967741935483871,0.0967741935483871,0.4377390290460279,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.0967741935483871,0.44466349482536316,,,2,0.9120879120879121,best_source_val,1,50,False,E5_structure_vs_lexical,3.0261874198913574,E5_structure_vs_lexical,C2_no_cctld,no_cctld,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt
2026-04-28T15:05:01.352972+00:00,T1_Nordic,source_only,45,100,77,80,20,31,0.9797344514325647,0.8791208791208791,,,0.8709677419354839,0.46551724137931033,,0.8709677419354839,0.8709677419354839,0.36581074999224755,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.8709677419354839,0.3613226115703583,,,3,0.8791208791208791,best_source_val,1,50,False,E5_structure_vs_lexical,3.028372287750244,E5_structure_vs_lexical,C3_no_lex,lexical_only,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt
2026-04-28T15:05:15.629241+00:00,T1_Nordic,source_only,45,100,77,80,20,31,1.0,0.8901098901098902,,,0.0967741935483871,0.08823529411764706,,0.0967741935483871,0.0967741935483871,0.000676484901748285,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.0967741935483871,7.893387373769656e-05,,,200,0.8901098901098902,best_source_val,1,200,False,E5_structure_vs_lexical,13.860950946807861,E5_structure_vs_lexical,C4_graph_only,zero_all,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt
2026-04-28T15:05:18.660612+00:00,T1_Nordic,source_only,45,100,77,80,20,31,0.976240391334731,0.8956043956043955,,,0.22580645161290322,0.18421052631578946,,0.22580645161290322,0.22580645161290322,0.43221853817662886,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.22580645161290322,0.4391912519931793,,,3,0.8956043956043955,best_source_val,1,50,False,E5_structure_vs_lexical,2.7051808834075928,E5_structure_vs_lexical,C5_lex_only,full,empty_all,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt
2026-04-28T15:05:31.940720+00:00,T1_Nordic,source_only,46,100,77,80,20,31,1.0,1.0,,,0.2903225806451613,0.225,,0.2903225806451613,0.2903225806451613,0.46505624471464907,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.2903225806451613,0.9998559951782227,,,200,1.0,best_source_val,1,200,False,E5_structure_vs_lexical,12.966478824615479,E5_structure_vs_lexical,C1_full,full,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt
