experiment,scenario,num_runs,test_roc_auc_mean,test_roc_auc_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_macro_f1_mean,test_macro_f1_std
E4_control_groups,S1_licensed,5,0.9459996015628962,0.044338032356730984,0.8820334936686993,0.05566497281114022,0.8803264121747205,0.05531467418858037
E4_control_groups,S2_control,5,0.9704241938616939,0.013124505156503529,0.9081666495269436,0.03115710671359151,0.8658250190034696,0.04850165552372648
E4_control_groups,S3_combined,5,0.9684919929270273,0.022449701158981192,0.9002208404802744,0.058589107951489576,0.8962458529742978,0.05513686960285062
