experiment,transfer_id,edge_removed,metric,primary_metric_direction,n_pairs,full_mean,ablated_mean,delta_raw_mean,delta_raw_ci_lo,delta_raw_ci_hi,effect_mean,effect_ci_lo,effect_ci_hi,p_value,significant_05,significant_01
E1_edge_ablation,T1_Nordic,hosted_on,illegal_recall_at_youden,higher_is_better,5,0.2064516129032258,0.1935483870967742,-0.012903225806451608,-0.02580645161290322,0.0,0.012903225806451608,0.0,0.02580645161290322,0.142,False,False
E1_edge_ablation,T1_Nordic,referenced_by,illegal_recall_at_youden,higher_is_better,5,0.2064516129032258,0.2129032258064516,0.0064516129032258064,0.0,0.01935483870967742,-0.0064516129032258064,-0.01935483870967742,0.0,0.69,False,False
E1_edge_ablation,T1_Nordic,registered_via,illegal_recall_at_youden,higher_is_better,5,0.2064516129032258,0.24516129032258066,0.038709677419354833,0.0064516129032258064,0.07096774193548386,-0.038709677419354833,-0.07741935483870965,-0.0064516129032258064,0.028,True,False
E1_edge_ablation,T1_Nordic,uses_cert,illegal_recall_at_youden,higher_is_better,5,0.2064516129032258,0.2387096774193548,0.03225806451612903,-0.1290322580645161,0.2193548387096774,-0.03225806451612903,-0.2129032258064516,0.12903225806451613,0.704,False,False
E1_edge_ablation,T1_Nordic,uses_ns,illegal_recall_at_youden,higher_is_better,5,0.2064516129032258,0.2064516129032258,-5.551115123125783e-18,-0.11612903225806452,0.14225806451612874,5.551115123125783e-18,-0.14193548387096774,0.12903225806451615,0.956,False,False
E1_edge_ablation,T2_ON,hosted_on,mean_pred_illegal_lower_is_better,lower_is_better,5,0.30275969002754055,0.3366523009755914,0.033892610948050836,0.019868834681771343,0.04874206981456728,0.033892610948050836,0.019868834681771343,0.04879576676114089,0.0,True,True
E1_edge_ablation,T2_ON,referenced_by,mean_pred_illegal_lower_is_better,lower_is_better,5,0.30275969002754055,0.30275969002754055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False
E1_edge_ablation,T2_ON,registered_via,mean_pred_illegal_lower_is_better,lower_is_better,5,0.30275969002754055,0.334955977694536,0.03219628766699546,0.015006205071161561,0.04938637026282937,0.03219628766699546,0.014984955154453323,0.04938637026282937,0.0,True,True
E1_edge_ablation,T2_ON,uses_cert,mean_pred_illegal_lower_is_better,lower_is_better,5,0.30275969002754055,0.30670619359456547,0.003946503567024928,-0.015993785066626985,0.023326292553277485,0.003946503567024928,-0.015993785066626985,0.023701173098546236,0.642,False,False
E1_edge_ablation,T2_ON,uses_ns,mean_pred_illegal_lower_is_better,lower_is_better,5,0.30275969002754055,0.26328828053774483,-0.039471409489795675,-0.10347520108706547,0.024532382107474132,-0.039471409489795675,-0.10347520108706547,0.02467191476947238,0.228,False,False
E1_edge_ablation,T2_PH,hosted_on,roc_auc,higher_is_better,5,0.6416666666666666,0.6208333333333333,-0.020833333333333325,-0.10833333333333332,0.03750000000000002,0.020833333333333325,-0.04166666666666667,0.10833333333333332,0.72,False,False
E1_edge_ablation,T2_PH,referenced_by,roc_auc,higher_is_better,5,0.6416666666666666,0.6416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False
E1_edge_ablation,T2_PH,registered_via,roc_auc,higher_is_better,5,0.6416666666666666,0.725,0.08333333333333336,0.0375,0.1333333333333334,-0.08333333333333336,-0.13750000000000004,-0.0375,0.0,True,True
E1_edge_ablation,T2_PH,uses_cert,roc_auc,higher_is_better,5,0.6416666666666666,0.5875,-0.05416666666666664,-0.10010416666666656,-0.01666666666666663,0.05416666666666664,0.016666666666666653,0.1041666666666666,0.0,True,True
E1_edge_ablation,T2_PH,uses_ns,roc_auc,higher_is_better,5,0.6416666666666666,0.625,-0.016666666666666642,-0.1999999999999999,0.1666666666666667,0.016666666666666642,-0.15833333333333333,0.2083333333333332,0.884,False,False
E1_edge_ablation,T3_DiagnoseFrance,hosted_on,roc_auc,higher_is_better,5,0.9861234567901235,0.9960000000000001,0.009876543209876543,-0.0020000000000000018,0.030629629629629628,-0.009876543209876543,-0.029629629629629627,0.0020000000000000018,0.436,False,False
E1_edge_ablation,T3_DiagnoseFrance,referenced_by,roc_auc,higher_is_better,5,0.9861234567901235,0.9861234567901235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False
E1_edge_ablation,T3_DiagnoseFrance,registered_via,roc_auc,higher_is_better,5,0.9861234567901235,0.9210526315789472,-0.0650708252111761,-0.18484210526315792,0.019753086419753086,0.0650708252111761,-0.013782716049382561,0.18484210526315792,0.226,False,False
E1_edge_ablation,T3_DiagnoseFrance,uses_cert,roc_auc,higher_is_better,5,0.9861234567901235,0.9154392462638077,-0.07068421052631577,-0.12207763157894733,-0.020999999999999998,0.07068421052631577,0.020999999999999998,0.12705263157894736,0.0,True,True
E1_edge_ablation,T3_DiagnoseFrance,uses_ns,roc_auc,higher_is_better,5,0.9861234567901235,0.9294918778427551,-0.05663157894736841,-0.16189473684210526,0.0,0.05663157894736841,0.0,0.16189473684210526,0.142,False,False
