created_at_utc,task,model,seed,best_epoch,best_val_score,trained_epochs,threshold,val_roc_auc,val_balanced_accuracy,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_macro_f1,test_licensed_consistency,test_illegal_consistency,test_mean_pred_illegal,runtime_s,experiment,scenario
2026-04-28T15:18:37.470470+00:00,E4_S1_licensed,heco_disc_lr_finetune,42,95,0.9579831932773109,120,0.3902824819087982,0.9579831932773109,0.9320728291316527,0.991869918699187,0.9900327145498216,0.9575018477457502,0.9588507877664505,0.975609756097561,0.9393939393939394,0.42699737616366956,6.843017339706421,E4_control_groups,S1_licensed
2026-04-28T15:18:43.700078+00:00,E4_S2_control,heco_disc_lr_finetune,42,81,0.9453125,106,0.949397087097168,0.9453125,0.8645833333333333,0.9673659673659674,0.9878526675273878,0.9312354312354313,0.9213675213675214,0.9230769230769231,0.9393939393939394,0.7462749656456846,5.915710210800171,E4_control_groups,S2_control
2026-04-28T15:18:51.741373+00:00,E4_S3_combined,heco_disc_lr_finetune,42,113,0.9334490740740742,138,0.06478790938854218,0.9334490740740742,0.8883101851851851,0.965840220385675,0.9466878697626879,0.9030303030303031,0.8834128245892952,0.8363636363636363,0.9696969696969697,0.3906642955478903,7.730597496032715,E4_control_groups,S3_combined
2026-04-28T15:18:55.055118+00:00,E4_S1_licensed,heco_disc_lr_finetune,43,3,0.90390625,50,0.5257440209388733,0.90390625,0.8625,0.8697478991596639,0.8459249115113956,0.7906162464985995,0.7946315979102865,0.9047619047619048,0.6764705882352942,0.5178485736250877,2.7299437522888184,E4_control_groups,S1_licensed
2026-04-28T15:19:00.712789+00:00,E4_S2_control,heco_disc_lr_finetune,43,64,0.9921875,89,0.9013161659240723,0.9921875,0.96875,0.9615384615384615,0.9867567072612279,0.8676470588235294,0.7951573849878935,1.0,0.7352941176470589,0.656093418885498,5.231503963470459,E4_control_groups,S2_control
2026-04-28T15:19:08.664286+00:00,E4_S3_combined,heco_disc_lr_finetune,43,112,0.990985576923077,137,0.17720484733581543,0.990985576923077,0.9615384615384616,0.9758254716981133,0.9674150866892699,0.9404481132075472,0.9377289377289377,0.9433962264150944,0.9375,0.3374958740733401,7.641112327575684,E4_control_groups,S3_combined
2026-04-28T15:19:16.355112+00:00,E4_S1_licensed,heco_disc_lr_finetune,44,100,0.9871212121212121,125,0.37432190775871277,0.9871212121212121,0.9446969696969697,0.9870129870129871,0.9848042725048072,0.9101731601731602,0.9060654857756307,0.8809523809523809,0.9393939393939394,0.43840168349592507,7.077178001403809,E4_control_groups,S1_licensed
2026-04-28T15:19:20.832066+00:00,E4_S2_control,heco_disc_lr_finetune,44,48,0.9869791666666667,73,0.4165782332420349,0.9869791666666667,0.953125,0.9713541666666667,0.9906256081837201,0.90625,0.8482758620689655,1.0,0.8125,0.6757787273011424,4.179511070251465,E4_control_groups,S2_control
2026-04-28T15:19:32.619252+00:00,E4_S3_combined,heco_disc_lr_finetune,44,194,0.9714452214452214,200,0.9645336270332336,0.9714452214452214,0.9297785547785548,0.9273870783304746,0.882269132645459,0.7861635220125787,0.7952380952380952,0.9056603773584906,0.6666666666666666,0.4238940840823504,11.478165864944458,E4_control_groups,S3_combined
2026-04-28T15:19:38.422170+00:00,E4_S1_licensed,heco_disc_lr_finetune,45,63,0.9884559884559885,88,0.254343181848526,0.9884559884559885,0.961038961038961,0.9314024390243902,0.9336678816778308,0.8589939024390244,0.8492018779342723,0.7804878048780488,0.9375,0.4150301631179651,5.154808759689331,E4_control_groups,S1_licensed
2026-04-28T15:19:48.365890+00:00,E4_S2_control,heco_disc_lr_finetune,45,143,0.9661458333333334,168,0.9821528792381287,0.9661458333333334,0.953125,0.9947916666666667,0.9981617647058824,0.953125,0.9198542805100182,1.0,0.90625,0.7026376091172014,9.633081197738647,E4_control_groups,S2_control
2026-04-28T15:19:58.188570+00:00,E4_S3_combined,heco_disc_lr_finetune,45,139,0.9799528301886793,164,0.6311310529708862,0.9799528301886793,0.9655070754716981,0.9939903846153846,0.9906814998726763,0.9375,0.9481481481481482,1.0,0.875,0.34683993459160967,9.494383096694946,E4_control_groups,S3_combined
2026-04-28T15:20:09.396795+00:00,E4_S1_licensed,heco_disc_lr_finetune,46,159,0.9272125723738627,184,0.9472939372062683,0.9272125723738627,0.8970223325062034,0.9499647639182524,0.9529372631663129,0.8928823114869626,0.8928823114869626,0.9069767441860465,0.8787878787878788,0.5084126481099228,10.633944988250732,E4_control_groups,S1_licensed
2026-04-28T15:20:16.951756+00:00,E4_S2_control,heco_disc_lr_finetune,46,99,0.9791666666666667,124,0.9937397241592407,0.9791666666666667,0.9270833333333333,0.9570707070707072,0.9816340004408024,0.8825757575757576,0.8444700460829493,0.9166666666666666,0.8484848484848485,0.7471755168711146,7.244488954544067,E4_control_groups,S2_control
2026-04-28T15:20:22.811827+00:00,E4_S3_combined,heco_disc_lr_finetune,46,66,0.9581367924528302,91,0.21917301416397095,0.9581367924528302,0.9089033018867925,0.9794168096054888,0.962904869386598,0.9339622641509434,0.9167012591670125,0.8679245283018868,1.0,0.3673205220886559,5.556466579437256,E4_control_groups,S3_combined
