metric,aligned_pairs,spearman_rho,spearman_p,kendall_tau,kendall_p
logme_cross,30,0.27542845106851566,0.14071122127620103,0.18244852351009067,0.15843989887088328
h_divergence,30,0.3925233644859814,0.031909773724386935,0.23732718894009214,0.0660313606695623
wasserstein,30,0.04323606776878021,0.8205349596264881,0.039817997172597146,0.761073697231619
