created_at_utc,transfer_id,method,seed,source_size,target_size,source_train_size,source_val_size,target_test_size,source_train_auc,source_val_auc,target_test_auc,target_pr_auc,target_balanced_acc,target_macro_f1,target_licensed_consistency,target_illegal_consistency,target_illegal_recall_at_youden,target_mean_pred_illegal,target_label_class_count,target_has_complete_binary_labels,configured_primary_metric,effective_primary_metric,primary_metric_direction,primary_metric_value,threshold,domain_acc_final,pseudo_label_quality,best_epoch,best_source_val_score,selection_policy,best_state_min_epoch,trained_epochs,force_full_epochs,purpose,runtime_s,experiment,edge_removed,edge_config,encoder_checkpoint
2026-04-28T14:43:33.384014+00:00,T1_Nordic,source_only,43,100,77,80,20,31,1.0,1.0,,,0.25806451612903225,0.20512820512820512,,0.25806451612903225,0.25806451612903225,0.32916321005674165,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.25806451612903225,0.9992050528526306,,,200,1.0,best_source_val,1,200,False,E1_edge_ablation,12.516253471374512,E1_edge_ablation,referenced_by,minus_referenced_by,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
2026-04-28T14:43:46.234640+00:00,T1_Nordic,source_only,44,100,77,80,20,31,1.0,1.0,,,0.06451612903225806,0.06060606060606061,,0.06451612903225806,0.06451612903225806,0.10313587505191764,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.06451612903225806,0.9999018907546997,,,200,1.0,best_source_val,1,200,False,E1_edge_ablation,12.553280115127563,E1_edge_ablation,none,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt
2026-04-28T14:43:58.759182+00:00,T1_Nordic,source_only,44,100,77,80,20,31,1.0,1.0,,,0.06451612903225806,0.06060606060606061,,0.06451612903225806,0.06451612903225806,0.11469754339258718,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.06451612903225806,0.9999791383743286,,,200,1.0,best_source_val,1,200,False,E1_edge_ablation,12.232027769088745,E1_edge_ablation,hosted_on,minus_hosted_on,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt
2026-04-28T14:44:11.973536+00:00,T1_Nordic,source_only,44,100,77,80,20,31,1.0,1.0,,,0.06451612903225806,0.06060606060606061,,0.06451612903225806,0.06451612903225806,0.2848444616696741,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.06451612903225806,0.9999991655349731,,,200,1.0,best_source_val,1,200,False,E1_edge_ablation,12.94993805885315,E1_edge_ablation,uses_cert,minus_uses_cert,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt
2026-04-28T14:44:24.238128+00:00,T1_Nordic,source_only,44,100,77,80,20,31,1.0,1.0,,,0.06451612903225806,0.06060606060606061,,0.06451612903225806,0.06451612903225806,0.15825338848430617,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.06451612903225806,0.9999998807907104,,,200,1.0,best_source_val,1,200,False,E1_edge_ablation,12.006579160690308,E1_edge_ablation,uses_ns,minus_uses_ns,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt
2026-04-28T14:44:37.139835+00:00,T1_Nordic,source_only,44,100,77,80,20,31,1.0,1.0,,,0.0967741935483871,0.08823529411764706,,0.0967741935483871,0.0967741935483871,0.24771264325185374,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.0967741935483871,0.9999817609786987,,,200,1.0,best_source_val,1,200,False,E1_edge_ablation,12.614023923873901,E1_edge_ablation,registered_via,minus_registered_via,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt
2026-04-28T14:44:49.793573+00:00,T1_Nordic,source_only,44,100,77,80,20,31,1.0,1.0,,,0.06451612903225806,0.06060606060606061,,0.06451612903225806,0.06451612903225806,0.10323452180541703,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.06451612903225806,0.9999018907546997,,,200,1.0,best_source_val,1,200,False,E1_edge_ablation,12.368019580841064,E1_edge_ablation,referenced_by,minus_referenced_by,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt
2026-04-28T14:44:53.020982+00:00,T1_Nordic,source_only,45,100,77,80,20,31,0.9706498951781971,0.901098901098901,,,0.0967741935483871,0.08823529411764706,,0.0967741935483871,0.0967741935483871,0.43836083527534236,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.0967741935483871,0.4426642656326294,,,1,0.901098901098901,best_source_val,1,50,False,E1_edge_ablation,2.7976033687591553,E1_edge_ablation,none,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt
2026-04-28T14:44:56.148634+00:00,T1_Nordic,source_only,45,100,77,80,20,31,0.9804332634521314,0.901098901098901,,,0.0967741935483871,0.08823529411764706,,0.0967741935483871,0.0967741935483871,0.4373110984602282,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.0967741935483871,0.4411759674549103,,,1,0.901098901098901,best_source_val,1,50,False,E1_edge_ablation,2.8204474449157715,E1_edge_ablation,hosted_on,minus_hosted_on,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt
2026-04-28T14:44:59.276016+00:00,T1_Nordic,source_only,45,100,77,80,20,31,0.949685534591195,0.9120879120879121,,,0.0967741935483871,0.08823529411764706,,0.0967741935483871,0.0967741935483871,0.43777464666674215,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.0967741935483871,0.44091761112213135,,,1,0.9120879120879121,best_source_val,1,50,False,E1_edge_ablation,2.780726432800293,E1_edge_ablation,uses_cert,minus_uses_cert,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt
