created_at_utc,transfer_id,method,seed,source_size,target_size,source_train_size,source_val_size,target_test_size,source_train_auc,source_val_auc,target_test_auc,target_pr_auc,target_balanced_acc,target_macro_f1,target_licensed_consistency,target_illegal_consistency,target_illegal_recall_at_youden,target_mean_pred_illegal,target_label_class_count,target_has_complete_binary_labels,configured_primary_metric,effective_primary_metric,primary_metric_direction,primary_metric_value,threshold,domain_acc_final,pseudo_label_quality,best_epoch,best_source_val_score,selection_policy,best_state_min_epoch,trained_epochs,force_full_epochs,purpose,runtime_s,wall_runtime_s,encoder_checkpoint
2026-09-08T14:19:27.438174+00:00,T1_Nordic,source_only,42,100,77,80,20,31,1.0,1.0,,,0.3225806451612903,0.24390243902439024,,0.3225806451612903,0.3225806451612903,0.31334025309956254,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.3225806451612903,0.29037538170814514,,,200,1.0,best_source_val,1,200,False,classifier,16.10061812400818,16.35687255859375,heco_encoder__tau0.7__seed42.pt
2026-09-08T14:21:10.349547+00:00,T1_Nordic,source_only,43,100,77,80,20,31,1.0,1.0,,,0.25806451612903225,0.20512820512820512,,0.25806451612903225,0.25806451612903225,0.329555466958324,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.25806451612903225,0.9992050528526306,,,200,1.0,best_source_val,1,200,False,classifier,18.190158367156982,18.450604677200317,heco_encoder__tau0.7__seed43.pt
2026-09-08T14:22:49.683488+00:00,T1_Nordic,source_only,44,100,77,80,20,31,1.0,1.0,,,0.06451612903225806,0.06060606060606061,,0.06451612903225806,0.06451612903225806,0.10313587505191764,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.06451612903225806,0.9999018907546997,,,200,1.0,best_source_val,1,200,False,classifier,19.91559886932373,20.189669132232666,heco_encoder__tau0.7__seed44.pt
2026-09-08T14:24:26.885281+00:00,T1_Nordic,source_only,45,100,77,80,20,31,0.9706498951781971,0.901098901098901,,,0.0967741935483871,0.08823529411764706,,0.0967741935483871,0.0967741935483871,0.43836083527534236,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.0967741935483871,0.4426642656326294,,,1,0.901098901098901,best_source_val,1,50,False,classifier,3.8494696617126465,4.133868455886841,heco_encoder__tau0.7__seed45.pt
2026-09-08T14:25:41.185372+00:00,T1_Nordic,source_only,46,100,77,80,20,31,1.0,1.0,,,0.2903225806451613,0.225,,0.2903225806451613,0.2903225806451613,0.46505624471464907,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.2903225806451613,0.9998559951782227,,,200,1.0,best_source_val,1,200,False,classifier,18.514670372009277,18.81504487991333,heco_encoder__tau0.7__seed46.pt
2026-09-08T14:20:12.319251+00:00,T1_Nordic,strurw,42,100,77,80,20,31,1.0,1.0,,,0.0967741935483871,0.08823529411764706,,0.0967741935483871,0.0967741935483871,0.1669093532903778,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.0967741935483871,0.9995361566543579,,0.0,200,1.0,last_epoch,1,200,True,final_classifier,14.84496545791626,27.84318208694458,heco_encoder__tau0.7__seed42.pt
2026-09-08T14:21:57.060054+00:00,T1_Nordic,strurw,43,100,77,80,20,31,1.0,1.0,,,0.1935483870967742,0.16216216216216217,,0.1935483870967742,0.1935483870967742,0.3327982935473011,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.1935483870967742,0.9959025979042053,,0.35714285714285715,200,1.0,last_epoch,1,200,True,final_classifier,15.406566381454468,29.770208597183228,heco_encoder__tau0.7__seed43.pt
2026-09-08T14:23:48.479408+00:00,T1_Nordic,strurw,44,100,77,80,20,31,1.0,1.0,,,0.12903225806451613,0.11428571428571428,,0.12903225806451613,0.12903225806451613,0.6194799949749252,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.12903225806451613,0.9999998807907104,,0.7857142857142857,200,1.0,last_epoch,1,200,True,final_classifier,19.04210638999939,37.97013735771179,heco_encoder__tau0.7__seed44.pt
2026-09-08T14:24:57.446341+00:00,T1_Nordic,strurw,45,100,77,80,20,31,1.0,0.9010989010989011,,,0.12903225806451613,0.11428571428571428,,0.12903225806451613,0.12903225806451613,0.2196397397447031,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.12903225806451613,0.9960446357727051,,0.5714285714285714,200,0.9120879120879121,last_epoch,1,200,True,final_classifier,15.714166164398193,23.88555383682251,heco_encoder__tau0.7__seed45.pt
2026-09-08T14:29:15.574110+00:00,T1_Nordic,strurw,46,100,77,80,20,31,1.0,1.0,,,0.16129032258064516,0.1388888888888889,,0.16129032258064516,0.16129032258064516,0.3091584382339197,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.16129032258064516,0.998062789440155,,0.35714285714285715,200,1.0,last_epoch,1,200,True,final_classifier,40.06138253211975,191.56080842018127,heco_encoder__tau0.7__seed46.pt
