transfer_id,method,seed,metric,n_target_test,n_removed_overlap,n_isolated,primary_full,primary_isolated,delta,rerun_primary_reported,is_posthoc
T1_Nordic,dann,42,illegal_recall_at_youden,31,4,27,0.16129032258064516,0.18518518518518517,0.023894862604540018,0.1612903225806451,True
T1_Nordic,dann,43,illegal_recall_at_youden,31,4,27,0.2903225806451613,0.2962962962962963,0.00597371565113497,0.2903225806451613,True
T1_Nordic,dann,44,illegal_recall_at_youden,31,4,27,0.22580645161290322,0.2222222222222222,-0.0035842293906810097,0.2258064516129032,True
T1_Nordic,dann,45,illegal_recall_at_youden,31,4,27,0.3225806451612903,0.3333333333333333,0.010752688172043001,0.3225806451612903,True
T1_Nordic,dann,46,illegal_recall_at_youden,31,0,31,0.3548387096774194,0.3548387096774194,0.0,0.3548387096774194,True
T1_Nordic,dann_strurw,42,illegal_recall_at_youden,31,4,27,0.3548387096774194,0.37037037037037035,0.015531660692950977,0.3548387096774194,True
T1_Nordic,dann_strurw,43,illegal_recall_at_youden,31,4,27,0.22580645161290322,0.2222222222222222,-0.0035842293906810097,0.2258064516129032,True
T1_Nordic,dann_strurw,44,illegal_recall_at_youden,31,4,27,0.22580645161290322,0.2222222222222222,-0.0035842293906810097,0.2258064516129032,True
T1_Nordic,dann_strurw,45,illegal_recall_at_youden,31,4,27,0.12903225806451613,0.14814814814814814,0.019115890083632014,0.1290322580645161,True
T1_Nordic,dann_strurw,46,illegal_recall_at_youden,31,0,31,0.3548387096774194,0.3548387096774194,0.0,0.3548387096774194,True
T1_Nordic,source_only,42,illegal_recall_at_youden,31,4,27,0.3225806451612903,0.3333333333333333,0.010752688172043001,0.3225806451612903,True
T1_Nordic,source_only,43,illegal_recall_at_youden,31,4,27,0.25806451612903225,0.2962962962962963,0.03823178016726403,0.2580645161290322,True
T1_Nordic,source_only,44,illegal_recall_at_youden,31,4,27,0.06451612903225806,0.07407407407407407,0.009557945041816007,0.064516129032258,True
T1_Nordic,source_only,45,illegal_recall_at_youden,31,4,27,0.0967741935483871,0.1111111111111111,0.01433691756272401,0.0967741935483871,True
T1_Nordic,source_only,46,illegal_recall_at_youden,31,0,31,0.2903225806451613,0.2903225806451613,0.0,0.2903225806451613,True
T1_Nordic,strurw,42,illegal_recall_at_youden,31,4,27,0.0967741935483871,0.1111111111111111,0.01433691756272401,0.0967741935483871,True
T1_Nordic,strurw,43,illegal_recall_at_youden,31,4,27,0.1935483870967742,0.2222222222222222,0.02867383512544802,0.1935483870967742,True
T1_Nordic,strurw,44,illegal_recall_at_youden,31,4,27,0.12903225806451613,0.14814814814814814,0.019115890083632014,0.1290322580645161,True
T1_Nordic,strurw,45,illegal_recall_at_youden,31,4,27,0.12903225806451613,0.1111111111111111,-0.01792114695340502,0.1290322580645161,True
T1_Nordic,strurw,46,illegal_recall_at_youden,31,0,31,0.16129032258064516,0.16129032258064516,0.0,0.1612903225806451,True
T2_ON,dann,42,mean_pred_illegal,24,3,21,0.3818150144070387,0.4074375649825448,0.02562255057550611,0.3818150144070387,True
