seed,heldout_family,arm,alpha,binary_weight,shuffle_family_labels,scoring,TB_unseen_family_detection_auc,TA_family_attribution_top1,TA_chance,n_heldout,n_probes,n_train,n_centroids,mean_sim_heldout,mean_sim_probe,probes_in_training,probes_in_centroids,encoder_checkpoint,is_posthoc
42,tsars,A3_supcon_only,1.0,0.0,False,cosine_to_seen_centroids (identical across arms),0.5185185185185185,0.16666666666666666,0.16666666666666666,9,6,478,6,0.9451014399528503,0.8912360668182373,False,False,heco_encoder__tau0.7__seed42.pt,True
42,tsars,A4_shuffled,0.5,1.0,True,cosine_to_seen_centroids (identical across arms),0.5185185185185186,0.3333333333333333,0.16666666666666666,9,6,478,6,0.9959662556648254,0.9959341883659363,False,False,heco_encoder__tau0.7__seed42.pt,True
42,verdecasino,A1_no_supcon,0.0,1.0,False,cosine_to_seen_centroids (identical across arms),0.25,0.0,0.16666666666666666,4,6,483,6,1.0000001192092896,1.0000001192092896,False,False,heco_encoder__tau0.7__seed42.pt,True
42,verdecasino,A2_dual,0.5,1.0,False,cosine_to_seen_centroids (identical across arms),0.5833333333333334,0.16666666666666666,0.16666666666666666,4,6,483,6,0.974285900592804,0.9786641001701355,False,False,heco_encoder__tau0.7__seed42.pt,True
42,verdecasino,A3_supcon_only,1.0,0.0,False,cosine_to_seen_centroids (identical across arms),0.24999999999999997,0.16666666666666666,0.16666666666666666,4,6,483,6,0.9914497137069702,0.9833913445472717,False,False,heco_encoder__tau0.7__seed42.pt,True
42,verdecasino,A4_shuffled,0.5,1.0,True,cosine_to_seen_centroids (identical across arms),0.7500000000000001,0.3333333333333333,0.16666666666666666,4,6,483,6,0.9979231953620911,0.9981763362884521,False,False,heco_encoder__tau0.7__seed42.pt,True
43,bcdot,A1_no_supcon,0.0,1.0,False,cosine_to_seen_centroids (identical across arms),0.6666666666666667,0.3333333333333333,0.16666666666666666,4,6,483,6,1.0,1.0000001192092896,False,False,heco_encoder__tau0.7__seed43.pt,True
43,bcdot,A2_dual,0.5,1.0,False,cosine_to_seen_centroids (identical across arms),0.7500000000000001,0.6666666666666666,0.16666666666666666,4,6,483,6,0.9083016514778137,0.9275133013725281,False,False,heco_encoder__tau0.7__seed43.pt,True
43,bcdot,A3_supcon_only,1.0,0.0,False,cosine_to_seen_centroids (identical across arms),0.4166666666666667,0.6666666666666666,0.16666666666666666,4,6,483,6,0.9036697149276733,0.8967421054840088,False,False,heco_encoder__tau0.7__seed43.pt,True
43,bcdot,A4_shuffled,0.5,1.0,True,cosine_to_seen_centroids (identical across arms),0.9166666666666667,0.6666666666666666,0.16666666666666666,4,6,483,6,0.9399634599685669,0.9682540893554688,False,False,heco_encoder__tau0.7__seed43.pt,True
43,bcgame,A1_no_supcon,0.0,1.0,False,cosine_to_seen_centroids (identical across arms),0.7500000000000001,0.3333333333333333,0.16666666666666666,2,6,485,6,1.0000001192092896,1.0000001192092896,False,False,heco_encoder__tau0.7__seed43.pt,True
43,bcgame,A2_dual,0.5,1.0,False,cosine_to_seen_centroids (identical across arms),0.8333333333333334,0.5,0.16666666666666666,2,6,485,6,0.8347973823547363,0.9236010909080505,False,False,heco_encoder__tau0.7__seed43.pt,True
43,bcgame,A3_supcon_only,1.0,0.0,False,cosine_to_seen_centroids (identical across arms),0.6666666666666667,0.5,0.16666666666666666,2,6,485,6,0.8107174634933472,0.8497359156608582,False,False,heco_encoder__tau0.7__seed43.pt,True
43,bcgame,A4_shuffled,0.5,1.0,True,cosine_to_seen_centroids (identical across arms),0.6666666666666667,0.5,0.16666666666666666,2,6,485,6,0.9999839067459106,0.9999852180480957,False,False,heco_encoder__tau0.7__seed43.pt,True
43,freshbet,A1_no_supcon,0.0,1.0,False,cosine_to_seen_centroids (identical across arms),0.5,0.3333333333333333,0.16666666666666666,2,6,485,6,1.0000001192092896,1.0,False,False,heco_encoder__tau0.7__seed43.pt,True
43,freshbet,A2_dual,0.5,1.0,False,cosine_to_seen_centroids (identical across arms),0.75,0.16666666666666666,0.16666666666666666,2,6,485,6,0.4612319767475128,0.8117833733558655,False,False,heco_encoder__tau0.7__seed43.pt,True
43,freshbet,A3_supcon_only,1.0,0.0,False,cosine_to_seen_centroids (identical across arms),0.3333333333333333,0.16666666666666666,0.16666666666666666,2,6,485,6,0.7997892498970032,0.7223617434501648,False,False,heco_encoder__tau0.7__seed43.pt,True
43,freshbet,A4_shuffled,0.5,1.0,True,cosine_to_seen_centroids (identical across arms),0.4166666666666667,0.3333333333333333,0.16666666666666666,2,6,485,6,0.9865534901618958,0.9618008732795715,False,False,heco_encoder__tau0.7__seed43.pt,True
43,ggbet,A1_no_supcon,0.0,1.0,False,cosine_to_seen_centroids (identical across arms),0.5,0.5,0.16666666666666666,10,6,477,6,1.0,1.0000001192092896,False,False,heco_encoder__tau0.7__seed43.pt,True
43,ggbet,A2_dual,0.5,1.0,False,cosine_to_seen_centroids (identical across arms),0.6333333333333333,0.5,0.16666666666666666,10,6,477,6,0.8794678449630737,0.885572612285614,False,False,heco_encoder__tau0.7__seed43.pt,True
43,ggbet,A3_supcon_only,1.0,0.0,False,cosine_to_seen_centroids (identical across arms),0.7,0.5,0.16666666666666666,10,6,477,6,0.7914021611213684,0.8147059082984924,False,False,heco_encoder__tau0.7__seed43.pt,True
