transfer_id,method,完整,隔离,变化,完整>+0.05,隔离>+0.05
T1_Nordic,dann,0.06451612903225806,0.05734767025089606,-0.007168458781362005,True,True
T1_Nordic,dann_strurw,0.05161290322580645,0.04253285543608124,-0.00908004778972521,True,False
T1_Nordic,strurw,-0.06451612903225806,-0.07025089605734766,-0.005734767025089599,False,False
T2_ON,dann,-0.05686580431322761,-0.055235979099551455,0.0016298252136761546,False,False
T2_ON,dann_strurw,0.2784902387932614,0.2904427031130194,0.011952464319757994,True,True
T2_ON,strurw,0.3024929644020008,0.3080756420447469,0.0055826776427461144,True,True
T2_PH,dann,-0.10416666666666666,-0.10922619047619046,-0.005059523809523805,False,False
T2_PH,dann_strurw,0.1041666666666667,0.11452380952380951,0.010357142857142815,True,True
T2_PH,strurw,0.004166666666666696,0.03744047619047618,0.03327380952380948,False,False
T3_DiagnoseFrance,dann,-0.011296296296296294,-0.010532212885154046,0.0007640834111422475,False,False
T3_DiagnoseFrance,dann_strurw,-0.011061728395061721,-0.010121381886087799,0.0009403465089739219,False,False
T3_DiagnoseFrance,strurw,0.004354775828460023,0.0058782031331050975,0.0015234273046450747,False,False
