transfer_id,method,seed,primary_metric_value_new,primary_metric_value_old,abs_diff
T1_Nordic,dann,42,0.16129032258064516,0.1612903225806451,5.551115123125783e-17
T1_Nordic,dann,43,0.2903225806451613,0.2903225806451613,0.0
T1_Nordic,dann,44,0.22580645161290322,0.2258064516129032,2.7755575615628914e-17
T1_Nordic,dann,45,0.3225806451612903,0.3225806451612903,0.0
T1_Nordic,dann,46,0.3548387096774194,0.3548387096774194,0.0
T1_Nordic,dann_strurw,42,0.3548387096774194,0.3548387096774194,0.0
T1_Nordic,dann_strurw,43,0.22580645161290322,0.2258064516129032,2.7755575615628914e-17
T1_Nordic,dann_strurw,44,0.22580645161290322,0.2258064516129032,2.7755575615628914e-17
T1_Nordic,dann_strurw,45,0.12903225806451613,0.1290322580645161,2.7755575615628914e-17
T1_Nordic,dann_strurw,46,0.3548387096774194,0.3548387096774194,0.0
T1_Nordic,source_only,42,0.3225806451612903,0.3225806451612903,0.0
T1_Nordic,source_only,43,0.25806451612903225,0.2580645161290322,5.551115123125783e-17
T1_Nordic,source_only,44,0.06451612903225806,0.064516129032258,6.938893903907228e-17
T1_Nordic,source_only,45,0.0967741935483871,0.0967741935483871,0.0
T1_Nordic,source_only,46,0.2903225806451613,0.2903225806451613,0.0
T1_Nordic,strurw,42,0.0967741935483871,0.0967741935483871,0.0
T1_Nordic,strurw,43,0.1935483870967742,0.1935483870967742,0.0
T1_Nordic,strurw,44,0.12903225806451613,0.1290322580645161,2.7755575615628914e-17
T1_Nordic,strurw,45,0.12903225806451613,0.1290322580645161,2.7755575615628914e-17
T1_Nordic,strurw,46,0.16129032258064516,0.1612903225806451,5.551115123125783e-17
T2_ON,dann,42,0.3818150144070387,0.3818150144070387,0.0
T2_ON,dann,43,0.38546034675770596,0.3854603467577059,5.551115123125783e-17
T2_ON,dann,44,0.3603926283152153,0.3603926283152153,0.0
T2_ON,dann,45,0.31576235600126284,0.3157623560012628,5.551115123125783e-17
T2_ON,dann,46,0.35469712622261795,0.3546971262226179,5.551115123125783e-17
T2_ON,dann_strurw,42,0.005200023461005306,0.0052000234610053,6.071532165918825e-18
