check,status,observed,expected,detail
output/week9/metrics/fewshot_raw_runs.csv:legacy_marker,fail,missing_file,legacy marker,
output/week9/metrics/fewshot_summary.csv:legacy_marker,fail,missing_file,legacy marker,
output/week9/metrics/fewshot_acceptance_audit.csv:legacy_marker,fail,missing_file,legacy marker,
output/week9/metrics/hard_negative_family_acceptance.csv:is_posthoc_true,pass,2/2 true,all true,
output/week10/metrics/fewshot_final_summary.csv:is_posthoc_true,pass,30/30 true,all true,
output/week10/metrics/hard_negative_family_final_summary.csv:is_posthoc_true,pass,7/7 true,all true,
output/week10/metrics/deviation_case_index.csv:is_posthoc_true,pass,3/3 true,all true,
output/week10/metrics/final_rq_evidence_table.csv:is_posthoc_present,pass,"false,true",column present,
output/week10/metrics/final_hypothesis_rollup.csv:is_posthoc_present,pass,true,column present,
output/week10/metrics/final_rq_evidence_table.csv:claim_columns,pass,rows=21,required columns non-empty,
output/week10/metrics/final_hypothesis_rollup.csv:claim_columns,pass,rows=31,required columns non-empty,
output/week10/metrics/table6_ablation_all.csv:claim_columns,pass,rows=101,required columns non-empty,
output/week11/metrics/week11_acceptance_audit.csv:claim_columns,pass,rows=15,required columns non-empty,
output/week11/metrics/P1_family_metric_lofo.csv:is_prerun_frozen_all_true,pass,35/35 true,all true,
output/week11/metrics/P1_family_metric_lofo.csv:is_posthoc_all_false,pass,35/35 false,all false,
output/week11/metrics/P2_eerm_K_sensitivity.csv:is_prerun_frozen_all_true,pass,4/4 true,all true,
output/week11/metrics/P3_full_fewshot_matrix.csv:feature_condition_all_full,pass,100/100 full,all full,
output/week11/metrics/week11_acceptance_audit.csv:is_prerun_frozen_all_true,pass,15/15 true,all true,
output/week11/metrics/week11_acceptance_audit.csv:is_posthoc_all_false,pass,15/15 false,all false,
output/week7/metrics/week7_transfer_summary.csv:is_posthoc_diagnostic_true,pass,4/4 true,all true,
output/week7/metrics/week7_transfer_taxonomy.csv:is_posthoc_diagnostic_true,pass,4/4 true,all true,
output/week7/metrics/week7_to_week8_bridge.csv:is_posthoc_diagnostic_true,pass,4/4 true,all true,
output/week8/metrics/E3_lofo_setting_comparison.csv:is_posthoc_diagnostic_true,pass,2/2 true,all true,
output/week8/metrics/E3_hard_negative_family_summary.csv:is_posthoc_diagnostic_true,pass,7/7 true,all true,
output/week8/metrics/E5_structure_vs_lexical_corrected_summary.csv:is_posthoc_diagnostic_true,pass,36/36 true,all true,
output/week8/metrics/week8_diagnostic_rollup.csv:is_posthoc_diagnostic_true,pass,5/5 true,all true,
final_rollup_posthoc_marking,pass,posthoc_true=31; total=31,all final-rollup rows marked posthoc,
week8_acceptance_status_counts,pass,pass=5; fail=10,pass=5; fail=10,
corrected_e5_lex_only_minus_graph_only,pass,0.239569,0.239569,output/week8_patch/metrics/E5_corrected_acceptance_audit.csv
head_ablation_fixed_mean_auc,pass,0.973509,0.973509,output/week6_head_ablation/metrics/head_ablation_summary.csv
fewshot_t2ph_delta,fail,missing_file,0.28333333333333344,output/week9/metrics/fewshot_acceptance_audit.csv
week9_formal_t2ph_delta,pass,0.312500,0.312500,output/week9/metrics/week9_fewshot_rollup.csv
week9_formal_t3_delta,pass,0.009642,0.009642,output/week9/metrics/week9_fewshot_rollup.csv
hard_negative_family_mean_auc,pass,0.621850,0.621850,output/week9/metrics/hard_negative_family_acceptance.csv
hard_negative_tsars_auc,pass,0.386420,0.386420,output/week9/metrics/hard_negative_family_acceptance.csv
