created_at_utc,task,model,seed,best_epoch,best_val_score,trained_epochs,threshold,val_roc_auc,val_balanced_accuracy,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_macro_f1,test_licensed_consistency,test_illegal_consistency,test_mean_pred_illegal,runtime_s,experiment,permutation_id,reference_family,heldout_positive_count,encoder_checkpoint
2026-04-28T13:11:00.464978+00:00,E3_permutation,heco_disc_lr_finetune,42,200,1.0,200,0.4346751272678375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1901419357670185,10.823760032653809,E3_permutation,14,ggbet,10,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:11:11.496730+00:00,E3_permutation,heco_disc_lr_finetune,42,200,1.0,200,0.8524780869483948,1.0,1.0,1.0,1.0,0.8888888888888888,0.9258720930232558,1.0,0.7777777777777778,0.1569385782818478,10.742303848266602,E3_permutation,15,tsars,9,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:11:22.543445+00:00,E3_permutation,heco_disc_lr_finetune,42,200,1.0,200,0.0146548114717006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1154390041014236,10.801268100738524,E3_permutation,16,icecasino,6,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:11:33.844640+00:00,E3_permutation,heco_disc_lr_finetune,42,200,1.0,200,0.8665585517883301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.107677064764733,11.04812479019165,E3_permutation,17,bcdot,4,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:11:37.575426+00:00,E3_permutation,heco_disc_lr_finetune,42,41,1.0,66,0.5564841032028198,1.0,1.0,1.0,1.0,0.9761904761904762,0.8878048780487805,0.9523809523809524,1.0,0.1102163477585137,3.471431493759156,E3_permutation,18,verdecasino,4,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:11:48.231313+00:00,E3_permutation,heco_disc_lr_finetune,42,200,0.9951219512195122,200,0.6812152862548828,0.9951219512195122,0.9878048780487804,1.0,1.0,1.0,1.0,1.0,1.0,0.0473916892524529,10.406395435333252,E3_permutation,19,freshbet,2,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:11:54.123626+00:00,E3_permutation,heco_disc_lr_finetune,42,83,0.9983739837398372,108,0.8236203789710999,0.9983739837398372,0.9878048780487804,0.9761904761904762,0.75,0.75,0.8274509803921568,1.0,0.5,0.0480095728686066,5.638705968856812,E3_permutation,20,bcgame,2,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:12:05.404157+00:00,E3_permutation,heco_disc_lr_finetune,42,200,1.0,200,0.969839572906494,1.0,1.0,1.0,1.0,0.9,0.9319444444444444,1.0,0.8,0.1992149697551126,11.025265455245972,E3_permutation,21,ggbet,10,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:12:08.427745+00:00,E3_permutation,heco_disc_lr_finetune,42,29,1.0,54,0.482136070728302,1.0,1.0,0.9603174603174603,0.868089472256139,0.8214285714285714,0.8517441860465116,0.9761904761904762,0.6666666666666666,0.1379004697498586,2.763155698776245,E3_permutation,22,tsars,9,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:12:11.886479+00:00,E3_permutation,heco_disc_lr_finetune,42,33,1.0,58,0.5022135972976685,1.0,1.0,0.9722222222222222,0.8218253968253968,0.8214285714285714,0.8459893048128342,0.9761904761904762,0.6666666666666666,0.1226954922917871,3.2006423473358154,E3_permutation,23,icecasino,6,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:12:23.025539+00:00,E3_permutation,heco_disc_lr_finetune,42,200,1.0,200,0.9014241695404052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0996056655331845,10.869361162185667,E3_permutation,24,bcdot,4,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T13:12:34.285428+00:00,E3_permutation,heco_disc_lr_finetune,42,200,1.0,200,0.9690231084823608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1204775254286023,10.9889395236969,E3_permutation,25,verdecasino,4,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
