task,model,seed,temperature,created_at_utc,roc_auc,pr_auc,balanced_accuracy,macro_f1,threshold,val_roc_auc
heco_pooled_primary,heco_frozen_linear,42,0.1,2026-04-24T13:00:26.585359+00:00,0.8758314855875832,0.8877828323341301,0.835920177383592,0.835920177383592,0.4288969933986664,0.7534562211981568
heco_pooled_primary,heco_frozen_linear,42,0.3,2026-04-24T13:01:10.264040+00:00,0.886917960088692,0.8720447681034749,0.8144863266814486,0.8102564102564103,0.426290899515152,0.7849462365591399
heco_pooled_primary,heco_frozen_linear,42,0.5,2026-04-24T13:01:56.267683+00:00,0.9179600886917961,0.9092781275184372,0.8325942350332594,0.8242922374429223,0.44178763031959534,0.7803379416282643
heco_pooled_primary,heco_frozen_linear,42,0.7,2026-04-24T13:02:40.115621+00:00,0.917960088691796,0.9047440700305067,0.762379896526238,0.7409250046065966,0.43654176592826843,0.8632872503840245
heco_pooled_primary,heco_full_finetune,42,0.1,2026-04-24T13:00:35.814485+00:00,0.9874353288987435,0.9858858483858484,0.9393939393939394,0.9444861215303826,0.49974340200424194,0.9685099846390169
heco_pooled_primary,heco_full_finetune,42,0.3,2026-04-24T13:01:22.388832+00:00,0.9896526237989653,0.9888836629413125,0.9393939393939394,0.9444861215303826,0.5052165389060974,0.9769585253456221
heco_pooled_primary,heco_full_finetune,42,0.5,2026-04-24T13:02:01.434473+00:00,0.9807834441980784,0.9786154246152503,0.9209164818920916,0.9183823529411765,0.42681005597114563,0.9608294930875576
heco_pooled_primary,heco_full_finetune,42,0.7,2026-04-24T13:02:45.365920+00:00,0.9793052475979305,0.976486881115739,0.9087213599408721,0.9049715648504861,0.4383402168750763,0.9639016897081413
