created_at_utc,task,model,seed,best_epoch,best_val_score,trained_epochs,threshold,val_roc_auc,val_balanced_accuracy,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_macro_f1,test_licensed_consistency,test_illegal_consistency,test_mean_pred_illegal,runtime_s,experiment,family_id,test_form,recall_at_fpr_0_10,positive_score_mean,negative_score_mean,score_gap_pos_minus_neg,heldout_positive_count,negative_count,encoder_checkpoint,is_posthoc
2026-04-28T16:12:53.023936+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,44,,,,,,,0.4074074074074074,0.4476851851851852,0.5,0.3333333333333333,,,,,E3_w85_lofo,tsars,hard_illegal_negative,0.0,0.9999391701486376,0.999930891725752,8.278422885421577e-06,9,9,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,True
2026-04-28T16:13:01.899520+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,44,,,,,,,0.6944444444444446,0.7718253968253967,0.5,0.3333333333333333,,,,,E3_w85_lofo,icecasino,hard_illegal_negative,0.3333333333333333,0.9955573479334512,0.989102989435196,0.0064543584982553,6,6,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,True
2026-04-28T16:13:11.603498+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,44,,,,,,,0.875,0.8875,0.5,0.3333333333333333,,,,,E3_w85_lofo,bcdot,hard_illegal_negative,0.5,0.9993872046470642,0.8924029320478439,0.1069842725992202,4,4,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,True
2026-04-28T16:13:35.610390+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,44,,,,,,,0.34375,0.4482142857142857,0.5,0.3333333333333333,,,,,E3_w85_lofo,verdecasino,hard_illegal_negative,0.0,0.999907612800598,0.99898824095726,0.000919371843338,4,4,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,True
2026-04-28T16:13:56.630329+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,44,,,,,,,0.375,0.5,0.5,0.3333333333333333,,,,,E3_w85_lofo,freshbet,hard_illegal_negative,0.0,0.9995173215866088,0.9996598362922668,-0.0001425147056579,2,2,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,True
2026-04-28T16:14:21.719287+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,44,,,,,,,0.75,0.6666666666666666,0.5,0.3333333333333333,,,,,E3_w85_lofo,bcgame,hard_illegal_negative,0.0,1.0,0.9999836087226868,1.6391277313232422e-05,2,2,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,True
2026-04-28T16:14:40.716381+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,45,,,,,,,0.85,0.7692307692307693,0.5,0.3333333333333333,,,,,E3_w85_lofo,ggbet,hard_illegal_negative,0.0,1.0,0.9967848777770996,0.0032151222229004,10,10,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,True
2026-04-28T16:15:04.345456+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,45,,,,,,,0.4876543209876542,0.4854096520763188,0.5,0.3333333333333333,,,,,E3_w85_lofo,tsars,hard_illegal_negative,0.0,0.9999184873369004,0.998118347591824,0.0018001397450764,9,9,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,True
2026-04-28T16:15:15.261196+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,45,,,,,,,0.5833333333333333,0.7001683501683501,0.5,0.3333333333333333,,,,,E3_w85_lofo,icecasino,hard_illegal_negative,0.3333333333333333,0.9915253221988678,0.974597066640854,0.0169282555580139,6,6,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,True
2026-04-28T16:15:38.539405+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,45,,,,,,,0.875,0.8,0.5,0.3333333333333333,,,,,E3_w85_lofo,bcdot,hard_illegal_negative,0.0,1.0,0.999982625246048,1.7374753952026367e-05,4,4,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,True
2026-04-28T16:16:03.119890+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,45,,,,,,,0.125,0.3833333333333333,0.5,0.3333333333333333,,,,,E3_w85_lofo,verdecasino,hard_illegal_negative,0.0,0.9986968487501144,1.0,-0.0013031512498855,4,4,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,True
2026-04-28T16:16:24.484234+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,45,,,,,,,0.5,0.75,0.5,0.3333333333333333,,,,,E3_w85_lofo,freshbet,hard_illegal_negative,0.5,0.9991795718669892,0.9995662569999696,-0.0003866851329803,2,2,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,True
2026-04-28T16:16:46.623541+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,45,,,,,,,1.0,1.0,0.5,0.3333333333333333,,,,,E3_w85_lofo,bcgame,hard_illegal_negative,1.0,1.0,0.9997927844524384,0.0002072155475616,2,2,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,True
2026-04-28T16:17:09.133391+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,46,,,,,,,0.8,0.7142857142857143,0.5,0.3333333333333333,,,,,E3_w85_lofo,ggbet,hard_illegal_negative,0.0,1.0,0.999194985628128,0.0008050143718719,10,10,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,True
2026-04-28T16:17:33.278528+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,46,,,,,,,0.2962962962962963,0.4806609512491865,0.5555555555555556,0.4461538461538461,,,,,E3_w85_lofo,tsars,hard_illegal_negative,0.0,0.9993538724051582,0.8964955285191536,0.1028583438860045,9,9,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,True
2026-04-28T16:17:55.375067+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,46,,,,,,,0.888888888888889,0.9333333333333332,0.5,0.3333333333333333,,,,,E3_w85_lofo,icecasino,hard_illegal_negative,0.8333333333333334,0.9999625583489736,0.9902803897857666,0.009682168563207,6,6,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,True
2026-04-28T16:18:17.623453+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,46,,,,,,,0.71875,0.7053571428571428,0.5,0.3333333333333333,,,,,E3_w85_lofo,bcdot,hard_illegal_negative,0.0,0.9999998807907104,0.9999985992908478,1.2814998626708984e-06,4,4,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,True
2026-04-28T16:18:40.736450+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,46,,,,,,,0.375,0.4761904761904761,0.5,0.3333333333333333,,,,,E3_w85_lofo,verdecasino,hard_illegal_negative,0.0,0.999681144952774,0.9994683414697648,0.0002128034830093,4,4,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,True
2026-04-28T16:19:03.911245+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,46,,,,,,,0.5,0.75,0.5,0.3333333333333333,,,,,E3_w85_lofo,freshbet,hard_illegal_negative,0.5,0.9997327625751496,0.9998146295547484,-8.186697959899902e-05,2,2,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,True
2026-04-28T16:19:16.224097+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,46,,,,,,,1.0,1.0,0.5,0.3333333333333333,,,,,E3_w85_lofo,bcgame,hard_illegal_negative,1.0,0.9999691247940063,0.999326229095459,0.0006428956985473,2,2,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,True
