created_at_utc,target_id,shot,actual_shot_per_class,seed,checkpoint_seed,feature_condition,source_only_auc,fewshot_auc,delta_auc,pr_auc,f1,balanced_accuracy,precision,recall,n_target_train,n_target_test,best_epoch,trained_epochs,threshold,encoder_checkpoint,training_mode,training_strategy,split_file,is_posthoc,runtime_s
2026-05-04T14:32:50.652226+00:00,T2_PH,5,5,1,43,full,0.7083333333333333,0.875,0.16666666666666674,0.7345238095238095,0.9230769230769231,0.9375,0.8571428571428571,1.0,10,14,84,109,0.6890559196472168,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__full__k5__seed1_split.csv,True,5.5297815799713135
2026-05-04T14:33:16.682840+00:00,T2_PH,5,5,2,44,full,0.5416666666666666,0.9791666666666666,0.4375,0.976190476190476,0.9090909090909091,0.9166666666666667,1.0,0.8333333333333334,10,14,134,159,0.10911829024553299,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__full__k5__seed2_split.csv,True,8.02713680267334
2026-05-04T14:33:41.205558+00:00,T2_PH,5,5,3,45,full,0.4583333333333333,0.9583333333333334,0.5,0.9484126984126984,0.8571428571428571,0.875,0.75,1.0,10,14,73,98,0.18693897128105164,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__full__k5__seed3_split.csv,True,4.826741695404053
2026-05-04T14:34:13.250271+00:00,T2_PH,5,5,4,46,full,0.7083333333333333,0.9375,0.22916666666666674,0.9150793650793649,0.7272727272727273,0.7708333333333333,0.8,0.6666666666666666,10,14,195,200,0.6655684113502502,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__full__k5__seed4_split.csv,True,10.395617485046387
2026-05-04T14:32:26.702064+00:00,T2_PH,10,8,0,42,full,0.7916666666666667,0.9791666666666666,0.1874999999999999,0.976190476190476,0.9230769230769231,0.9375,0.8571428571428571,1.0,16,14,45,70,0.391176700592041,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__full__k10__seed0_split.csv,True,3.2297816276550293
2026-05-04T14:32:56.849907+00:00,T2_PH,10,8,1,43,full,0.7083333333333333,0.8958333333333334,0.1875000000000001,0.8178571428571427,0.9230769230769231,0.9375,0.8571428571428571,1.0,16,14,92,117,0.7284966111183167,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__full__k10__seed1_split.csv,True,5.937308311462402
2026-05-04T14:33:24.268911+00:00,T2_PH,10,8,2,44,full,0.5416666666666666,1.0,0.45833333333333337,1.0,1.0,1.0,1.0,1.0,16,14,122,147,0.32506102323532104,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__full__k10__seed2_split.csv,True,7.3301451206207275
2026-05-04T14:33:46.586784+00:00,T2_PH,10,8,3,45,full,0.4583333333333333,0.9375,0.4791666666666667,0.9150793650793649,0.7058823529411765,0.6875,0.5454545454545454,1.0,16,14,73,98,0.13334161043167114,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__full__k10__seed3_split.csv,True,5.1039252281188965
2026-05-04T14:34:23.675022+00:00,T2_PH,10,8,4,46,full,0.7083333333333333,0.9583333333333334,0.2500000000000001,0.9484126984126984,0.9230769230769231,0.9375,0.8571428571428571,1.0,16,14,182,200,0.3514958322048187,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__full__k10__seed4_split.csv,True,10.141737461090088
2026-05-08T13:48:11.101712+00:00,T2_PH,0,0,0,42,full,0.7916666666666667,0.7916666666666667,0.0,0.6825757575757576,0.7846153846153847,0.7916666666666667,,0.8333333333333334,0,14,103,128,0.2993318736553192,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,source_only_baseline_from_corrected_E5,source_only_baseline_from_corrected_E5,output\week9\splits\W9_T2_PH__full__k0__seed0_split.csv,True,11.644443273544312
2026-05-08T13:48:11.103709+00:00,T2_PH,0,0,1,43,full,0.7083333333333333,0.7083333333333333,0.0,0.7160714285714285,0.641025641025641,0.6666666666666667,,0.8333333333333334,0,14,144,169,0.1683022230863571,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,source_only_baseline_from_corrected_E5,source_only_baseline_from_corrected_E5,output\week9\splits\W9_T2_PH__full__k0__seed1_split.csv,True,15.632901668548584
2026-05-08T13:48:11.104710+00:00,T2_PH,0,0,2,44,full,0.5416666666666666,0.5416666666666666,0.0,0.5590909090909091,0.4759358288770053,0.4791666666666666,,0.3333333333333333,0,14,43,68,0.5042688846588135,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,source_only_baseline_from_corrected_E5,source_only_baseline_from_corrected_E5,output\week9\splits\W9_T2_PH__full__k0__seed2_split.csv,True,6.63072943687439
2026-05-08T13:48:11.105708+00:00,T2_PH,0,0,3,45,full,0.4583333333333333,0.4583333333333333,0.0,0.4332722832722833,0.2631578947368421,0.3125,,0.0,0,14,62,87,0.4804635643959045,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,source_only_baseline_from_corrected_E5,source_only_baseline_from_corrected_E5,output\week9\splits\W9_T2_PH__full__k0__seed3_split.csv,True,8.452905893325806
2026-05-08T13:48:11.108238+00:00,T2_PH,0,0,4,46,full,0.7083333333333333,0.7083333333333333,0.0,0.627020202020202,0.5714285714285714,0.5833333333333333,,0.6666666666666666,0,14,168,193,0.0867193266749382,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,source_only_baseline_from_corrected_E5,source_only_baseline_from_corrected_E5,output\week9\splits\W9_T2_PH__full__k0__seed4_split.csv,True,18.237361907958984
2026-05-08T13:39:57.717866+00:00,T2_PH,1,1,0,42,graph-only,0.9375,0.9166666666666667,-0.02083333333333326,0.9333333333333333,0.9090909090909091,0.9166666666666667,1.0,0.8333333333333334,2,14,166,191,0.711845338344574,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k1__seed0_split.csv,True,14.711995124816895
2026-05-08T13:40:48.727508+00:00,T2_PH,1,1,1,43,graph-only,0.7395833333333334,0.7395833333333334,0.0,0.6630952380952381,0.25,0.5208333333333334,0.5,0.16666666666666666,2,14,110,135,0.5313161015510559,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k1__seed1_split.csv,True,9.61207628250122
2026-05-08T13:41:34.335223+00:00,T2_PH,1,1,2,44,graph-only,0.625,0.41666666666666663,-0.20833333333333337,0.5903069153069153,0.5,0.6666666666666666,1.0,0.3333333333333333,2,14,200,200,0.4591722786426544,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k1__seed2_split.csv,True,14.382713556289673
2026-05-08T13:42:26.140910+00:00,T2_PH,1,1,3,45,graph-only,0.4375,0.39583333333333326,-0.04166666666666674,0.5974025974025974,0.5,0.6666666666666666,1.0,0.3333333333333333,2,14,127,152,0.545404314994812,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k1__seed3_split.csv,True,12.119761943817139
2026-05-08T13:43:16.923859+00:00,T2_PH,1,1,4,46,graph-only,0.25,0.3333333333333333,0.08333333333333331,0.4044705294705295,0.0,0.375,0.0,0.0,2,14,193,200,0.6623029112815857,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k1__seed4_split.csv,True,10.871892213821411
2026-05-08T13:40:10.506567+00:00,T2_PH,3,3,0,42,graph-only,0.9375,0.9791666666666667,0.04166666666666674,0.976190476190476,0.9090909090909091,0.9166666666666667,1.0,0.8333333333333334,6,14,154,179,0.5739556550979614,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k3__seed0_split.csv,True,12.343565225601196
2026-05-08T13:40:57.759378+00:00,T2_PH,3,3,1,43,graph-only,0.7395833333333334,0.8854166666666667,0.14583333333333337,0.7345238095238095,0.4444444444444444,0.6041666666666666,0.6666666666666666,0.3333333333333333,6,14,98,123,0.5020133852958679,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,output\week9\splits\W9_T2_PH__graph_only__k3__seed1_split.csv,True,8.657865047454834
