task,model,seed,temperature,created_at_utc,roc_auc,pr_auc,balanced_accuracy,macro_f1,threshold,val_roc_auc,best_epoch,best_val_roc_auc,head_type,finetune_checkpoint,encoder_source,encoder_checkpoint,is_posthoc
head_ablation,heco_fixed_mean_head,42,0.7,2026-04-30T13:59:45.349242+00:00,0.9977827050997783,0.9972434910603359,0.9393939393939394,0.9444861215303826,0.6153902411460876,0.9738863287250383,118,0.9738863287250383,fixed_mean,<workspace_root>\output\week6_head_ablation\checkpoints\heco_fixed_mean_head__seed42.pt,existing_checkpoint,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,True
head_ablation,heco_fixed_mean_head,43,0.7,2026-04-30T13:59:56.266414+00:00,0.9616963064295485,0.9592799793718887,0.8621751025991792,0.8663194444444444,0.7216672301292419,0.9733924611973392,75,0.9733924611973392,fixed_mean,<workspace_root>\output\week6_head_ablation\checkpoints\heco_fixed_mean_head__seed43.pt,existing_checkpoint,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,True
head_ablation,heco_fixed_mean_head,44,0.7,2026-04-30T14:00:10.895845+00:00,0.9870967741935485,0.9865917896478167,0.8802419354838709,0.8728358208955224,0.13996390998363495,0.9832317073170732,125,0.9832317073170732,fixed_mean,<workspace_root>\output\week6_head_ablation\checkpoints\heco_fixed_mean_head__seed44.pt,existing_checkpoint,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,True
head_ablation,heco_fixed_mean_head,45,0.7,2026-04-30T14:00:23.910331+00:00,0.9667774086378738,0.9673061266050863,0.9016611295681063,0.897165458141068,0.1711873710155487,0.9893939393939394,106,0.9893939393939394,fixed_mean,<workspace_root>\output\week6_head_ablation\checkpoints\heco_fixed_mean_head__seed45.pt,existing_checkpoint,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,True
head_ablation,heco_fixed_mean_head,46,0.7,2026-04-30T14:00:44.593468+00:00,0.9541930937279774,0.957852926787051,0.8777307963354475,0.8790450928381963,0.957964301109314,0.9288668320926385,200,0.9288668320926385,fixed_mean,<workspace_root>\output\week6_head_ablation\checkpoints\heco_fixed_mean_head__seed46.pt,existing_checkpoint,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,True
head_ablation,heco_schema_only_head,42,0.7,2026-04-30T14:00:58.629653+00:00,0.9874353288987435,0.9869332927519349,0.9423503325942351,0.9449404761904762,0.8589062094688416,0.9792626728110598,132,0.9792626728110598,schema_only,<workspace_root>\output\week6_head_ablation\checkpoints\heco_schema_only_head__seed42.pt,existing_checkpoint,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,True
head_ablation,heco_schema_only_head,43,0.7,2026-04-30T14:01:10.245860+00:00,0.9555403556771546,0.9482929790264033,0.8652530779753762,0.8674242424242424,0.7755131721496582,0.9711751662971175,91,0.9711751662971175,schema_only,<workspace_root>\output\week6_head_ablation\checkpoints\heco_schema_only_head__seed43.pt,existing_checkpoint,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,True
head_ablation,heco_schema_only_head,44,0.7,2026-04-30T14:01:28.303529+00:00,0.9669354838709677,0.9740694789081885,0.917741935483871,0.9146634615384616,0.14321741461753845,0.9893292682926829,179,0.9893292682926829,schema_only,<workspace_root>\output\week6_head_ablation\checkpoints\heco_schema_only_head__seed44.pt,existing_checkpoint,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,True
head_ablation,heco_schema_only_head,45,0.7,2026-04-30T14:01:38.672072+00:00,0.9461794019933554,0.9417910419981946,0.8614617940199336,0.8583924740056115,0.26007410883903503,0.9825757575757575,80,0.9825757575757575,schema_only,<workspace_root>\output\week6_head_ablation\checkpoints\heco_schema_only_head__seed45.pt,existing_checkpoint,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,True
head_ablation,heco_schema_only_head,46,0.7,2026-04-30T14:01:44.223729+00:00,0.8505990133897111,0.8100118241234747,0.7670894996476392,0.7695737471018369,0.7719939947128296,0.8982630272952853,21,0.8982630272952853,schema_only,<workspace_root>\output\week6_head_ablation\checkpoints\heco_schema_only_head__seed46.pt,existing_checkpoint,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,True
head_ablation,heco_metapath_only_head,42,0.7,2026-04-30T14:01:52.242722+00:00,0.8211382113821138,0.8346549912383674,0.7908351810790835,0.7959022852639874,0.5547072887420654,0.7757296466973886,69,0.7757296466973886,metapath_only,<workspace_root>\output\week6_head_ablation\checkpoints\heco_metapath_only_head__seed42.pt,existing_checkpoint,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,True
head_ablation,heco_metapath_only_head,43,0.7,2026-04-30T14:02:02.786328+00:00,0.7766757865937073,0.7373940487703357,0.6562927496580027,0.6446153846153846,0.8070434927940369,0.8218773096821879,107,0.8218773096821879,metapath_only,<workspace_root>\output\week6_head_ablation\checkpoints\heco_metapath_only_head__seed43.pt,existing_checkpoint,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,True
head_ablation,heco_metapath_only_head,44,0.7,2026-04-30T14:02:11.933775+00:00,0.8524193548387097,0.8213112727520441,0.6955645161290323,0.6965811965811965,0.5940288305282593,0.8849085365853658,84,0.8849085365853658,metapath_only,<workspace_root>\output\week6_head_ablation\checkpoints\heco_metapath_only_head__seed44.pt,existing_checkpoint,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,True
head_ablation,heco_metapath_only_head,45,0.7,2026-04-30T14:02:17.293822+00:00,0.8199335548172757,0.8158957164773131,0.7308970099667773,0.7172050098879368,0.40176835656166077,0.834090909090909,35,0.834090909090909,metapath_only,<workspace_root>\output\week6_head_ablation\checkpoints\heco_metapath_only_head__seed45.pt,existing_checkpoint,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,True
head_ablation,heco_metapath_only_head,46,0.7,2026-04-30T14:02:24.816474+00:00,0.8770260747004933,0.8634072611070078,0.7797744890768147,0.7863167760074976,0.5020252466201782,0.7704714640198511,61,0.7704714640198511,metapath_only,<workspace_root>\output\week6_head_ablation\checkpoints\heco_metapath_only_head__seed46.pt,existing_checkpoint,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,True
