transfer_id,seed,K,iteration,risks,advantage_abs_max,advantage_all_zero,editor_grad_norm,param_l2_step,risk_variance
T1_Nordic,42,2,1,0.672331;0.672130,0.00010037422180175781,False,0.0023628973867744207,4.999916076660156,1.0069003408830213e-08
T1_Nordic,42,2,2,0.672348;0.674435,0.0010437965393066406,False,0.02466009184718132,3.699793577194214,1.0894490287682856e-06
T1_Nordic,42,2,3,0.669784;0.674353,0.0022841691970825195,False,0.05376444756984711,3.286099672317505,5.217292709858157e-06
T1_Nordic,42,2,4,0.671054;0.674950,0.0019478797912597656,False,0.04581845551729202,2.9727938175201416,3.794235681198188e-06
T1_Nordic,42,2,5,0.672319;0.673060,0.00037038326263427734,False,0.008691579103469849,2.530940294265747,1.3716169178223936e-07
T1_Nordic,42,2,6,0.673434;0.673831,0.0001983642578125,False,0.0046728928573429585,2.1822378635406494,3.933655534638092e-08
T1_Nordic,42,2,7,0.673742;0.671280,0.0012312531471252441,False,0.028971152380108833,1.8577942848205566,1.515910980742774e-06
T1_Nordic,42,2,8,0.673221;0.671972,0.0006244182586669922,False,0.014676465652883053,1.654367208480835,3.8989816175671876e-07
T1_Nordic,42,2,9,0.670743;0.670102,0.00032073259353637695,False,0.00753024872392416,1.4827041625976562,1.0285027940426517e-07
T1_Nordic,42,2,10,0.676089;0.672582,0.0017538666725158691,False,0.04112723842263222,1.5588957071304321,3.076048415096011e-06
T1_Nordic,42,2,11,0.672710;0.673456,0.00037282705307006836,False,0.00876309722661972,1.4111179113388062,1.390000079481979e-07
T1_Nordic,42,2,12,0.669265;0.673163,0.0019489526748657227,False,0.04580720141530037,1.5626671314239502,3.7984166283422383e-06
T1_Nordic,42,2,13,0.674611;0.673281,0.0006652474403381348,False,0.015566226094961166,1.4424850940704346,4.425541533237265e-07
T1_Nordic,42,2,14,0.671514;0.674099,0.0012927651405334473,False,0.030089182779192924,1.4649395942687988,1.6711646821931936e-06
T1_Nordic,42,2,15,0.671123;0.675625,0.0022512078285217285,False,0.052725162357091904,1.6161384582519531,5.067802703706548e-06
T1_Nordic,42,2,16,0.671494;0.672615,0.0005606412887573242,False,0.013126526959240437,1.4864823818206787,3.143186404486187e-07
T1_Nordic,42,2,17,0.672297;0.673972,0.0008375644683837891,False,0.019617803394794464,1.405643105506897,7.015142386990192e-07
T1_Nordic,42,2,18,0.675256;0.671112,0.0020719170570373535,False,0.04869226738810539,1.4544968605041504,4.292840458219871e-06
T1_Nordic,42,2,19,0.673085;0.674345,0.0006297826766967773,False,0.014720146544277668,1.344900369644165,3.9662620565650286e-07
T1_Nordic,42,2,20,0.671138;0.673054,0.0009580850601196289,False,0.022403543815016747,1.291426658630371,9.179269682135782e-07
T1_Nordic,42,2,21,0.672408;0.673192,0.00039207935333251953,False,0.00914156436920166,1.1874345541000366,1.537028566644949e-07
