transfer_id,seed,method,K,beta,editor_lr,init_keep_logit,target_test_auc,target_illegal_recall_at_youden,youden_threshold,target_mean_pred_illegal,source_val_auc,best_epoch,trained_epochs,risk_var_last,runtime_s,encoder_checkpoint,implementation,is_posthoc
T1_Nordic,42,eerm_real_K2,2,1.0,0.05,0.0,,0.22580645161290322,0.9967758059501648,0.34173503518104553,1.0,200,200,0.0005376717890612781,20.17891788482666,heco_encoder__tau0.7__seed42.pt,adversarial_edge_editors_reinforce_variance,True
T1_Nordic,42,eerm_real_K4,4,1.0,0.05,0.0,,0.22580645161290322,0.9969511032104492,0.3123565912246704,1.0,200,200,5.548728586290963e-05,36.5873236656189,heco_encoder__tau0.7__seed42.pt,adversarial_edge_editors_reinforce_variance,True
T1_Nordic,43,eerm_real_K2,2,1.0,0.05,0.0,,0.25806451612903225,0.9999396800994873,0.4848441779613495,1.0,200,200,2.9196020477684215e-05,21.284430980682373,heco_encoder__tau0.7__seed43.pt,adversarial_edge_editors_reinforce_variance,True
T1_Nordic,43,eerm_real_K4,4,1.0,0.05,0.0,,0.25806451612903225,0.9999990463256836,0.42201825976371765,1.0,200,200,0.000196953333215788,35.32351779937744,heco_encoder__tau0.7__seed43.pt,adversarial_edge_editors_reinforce_variance,True
T1_Nordic,44,eerm_real_K2,2,1.0,0.05,0.0,,0.12903225806451613,0.9999895095825195,0.3415050506591797,1.0,200,200,2.650780152180232e-05,21.986375331878662,heco_encoder__tau0.7__seed44.pt,adversarial_edge_editors_reinforce_variance,True
T1_Nordic,44,eerm_real_K4,4,1.0,0.05,0.0,,0.1935483870967742,0.9999514818191528,0.3569824695587158,1.0,200,200,0.00016229726315941662,37.49978852272034,heco_encoder__tau0.7__seed44.pt,adversarial_edge_editors_reinforce_variance,True
T1_Nordic,45,eerm_real_K2,2,1.0,0.05,0.0,,0.22580645161290322,0.8272375464439392,0.2294495850801468,0.9010989010989011,200,200,4.2783118260558695e-05,20.120288372039795,heco_encoder__tau0.7__seed45.pt,adversarial_edge_editors_reinforce_variance,True
T1_Nordic,45,eerm_real_K4,4,1.0,0.05,0.0,,0.1935483870967742,0.8529970645904541,0.2225016951560974,0.9230769230769231,183,200,4.5114120439393446e-05,34.572569847106934,heco_encoder__tau0.7__seed45.pt,adversarial_edge_editors_reinforce_variance,True
T1_Nordic,46,eerm_real_K2,2,1.0,0.05,0.0,,0.45161290322580644,0.04363224655389786,0.3766685128211975,1.0,62,87,6.127468077465892e-05,8.918543100357056,heco_encoder__tau0.7__seed46.pt,adversarial_edge_editors_reinforce_variance,True
T1_Nordic,46,eerm_real_K4,4,1.0,0.05,0.0,,0.45161290322580644,0.03635599464178085,0.36794134974479675,1.0,55,80,5.589395368588157e-05,13.773684740066528,heco_encoder__tau0.7__seed46.pt,adversarial_edge_editors_reinforce_variance,True
T2_PH,42,eerm_real_K2,2,1.0,0.05,0.0,0.8125,0.8333333333333334,0.18124336004257202,0.346371591091156,0.9736842105263158,81,106,8.853424515109509e-05,11.114902973175049,heco_encoder__tau0.7__seed42.pt,adversarial_edge_editors_reinforce_variance,True
T2_PH,42,eerm_real_K4,4,1.0,0.05,0.0,0.8125,0.5,0.32268112897872925,0.24639393389225006,0.9714912280701754,70,95,0.00013768963981419802,16.918810606002808,heco_encoder__tau0.7__seed42.pt,adversarial_edge_editors_reinforce_variance,True
T2_PH,43,eerm_real_K2,2,1.0,0.05,0.0,0.5833333333333333,0.5,0.5903693437576294,0.443641722202301,0.9148717948717949,76,101,7.101724622771144e-05,10.45899772644043,heco_encoder__tau0.7__seed43.pt,adversarial_edge_editors_reinforce_variance,True
T2_PH,43,eerm_real_K4,4,1.0,0.05,0.0,0.75,0.6666666666666666,0.5839031338691711,0.510584831237793,0.9199999999999999,131,156,0.0002436419454170391,27.777294158935547,heco_encoder__tau0.7__seed43.pt,adversarial_edge_editors_reinforce_variance,True
T2_PH,44,eerm_real_K2,2,1.0,0.05,0.0,0.8958333333333333,0.16666666666666666,0.8855237364768982,0.21205589175224304,0.9474671669793622,149,174,6.589231937859097e-11,17.58773398399353,heco_encoder__tau0.7__seed44.pt,adversarial_edge_editors_reinforce_variance,True
T2_PH,44,eerm_real_K4,4,1.0,0.05,0.0,0.8125,0.3333333333333333,0.5883168578147888,0.21409685909748077,0.9437148217636023,113,138,0.00017264233611058444,24.782713651657104,heco_encoder__tau0.7__seed44.pt,adversarial_edge_editors_reinforce_variance,True
T2_PH,45,eerm_real_K2,2,1.0,0.05,0.0,0.20833333333333334,0.0,0.43507346510887146,0.39532485604286194,0.9423076923076923,57,82,4.16260190831963e-05,8.29248595237732,heco_encoder__tau0.7__seed45.pt,adversarial_edge_editors_reinforce_variance,True
T2_PH,45,eerm_real_K4,4,1.0,0.05,0.0,0.2916666666666667,0.3333333333333333,0.3812640905380249,0.39008828997612,0.9413461538461538,59,84,5.914245775784366e-05,15.80177092552185,heco_encoder__tau0.7__seed45.pt,adversarial_edge_editors_reinforce_variance,True
T2_PH,46,eerm_real_K2,2,1.0,0.05,0.0,0.5625,0.3333333333333333,0.5190322995185852,0.3515973389148712,0.9725877192982456,62,87,0.000968592707067728,8.98523759841919,heco_encoder__tau0.7__seed46.pt,adversarial_edge_editors_reinforce_variance,True
T2_PH,46,eerm_real_K4,4,1.0,0.05,0.0,0.5625,0.0,0.6163426041603088,0.3251604437828064,0.9780701754385965,59,84,0.0003831950016319752,15.084094762802124,heco_encoder__tau0.7__seed46.pt,adversarial_edge_editors_reinforce_variance,True
T2_ON,42,eerm_real_K2,2,1.0,0.05,0.0,,,0.18124336004257202,0.36722883582115173,0.9736842105263158,81,106,8.853424515109509e-05,10.576907634735107,heco_encoder__tau0.7__seed42.pt,adversarial_edge_editors_reinforce_variance,True
T2_ON,42,eerm_real_K4,4,1.0,0.05,0.0,,,0.32268112897872925,0.3537987768650055,0.9714912280701754,70,95,0.00013768963981419802,16.70556402206421,heco_encoder__tau0.7__seed42.pt,adversarial_edge_editors_reinforce_variance,True
T2_ON,43,eerm_real_K2,2,1.0,0.05,0.0,,,0.5903693437576294,0.3376754820346832,0.9148717948717949,76,101,7.101724622771144e-05,10.281438112258911,heco_encoder__tau0.7__seed43.pt,adversarial_edge_editors_reinforce_variance,True
T2_ON,43,eerm_real_K4,4,1.0,0.05,0.0,,,0.5839031338691711,0.3534441888332367,0.9199999999999999,131,156,0.0002436419454170391,27.252994775772095,heco_encoder__tau0.7__seed43.pt,adversarial_edge_editors_reinforce_variance,True
T2_ON,44,eerm_real_K2,2,1.0,0.05,0.0,,,0.8855237364768982,0.31825220584869385,0.9474671669793622,149,174,6.589231937859097e-11,17.397123098373413,heco_encoder__tau0.7__seed44.pt,adversarial_edge_editors_reinforce_variance,True
T2_ON,44,eerm_real_K4,4,1.0,0.05,0.0,,,0.5883168578147888,0.3363843262195587,0.9437148217636023,113,138,0.00017264233611058444,24.231851816177368,heco_encoder__tau0.7__seed44.pt,adversarial_edge_editors_reinforce_variance,True
T2_ON,45,eerm_real_K2,2,1.0,0.05,0.0,,,0.43507346510887146,0.32324084639549255,0.9423076923076923,57,82,4.16260190831963e-05,8.331070184707642,heco_encoder__tau0.7__seed45.pt,adversarial_edge_editors_reinforce_variance,True
T2_ON,45,eerm_real_K4,4,1.0,0.05,0.0,,,0.3812640905380249,0.29997703433036804,0.9413461538461538,59,84,5.914245775784366e-05,14.74929928779602,heco_encoder__tau0.7__seed45.pt,adversarial_edge_editors_reinforce_variance,True
T2_ON,46,eerm_real_K2,2,1.0,0.05,0.0,,,0.5190322995185852,0.2895268499851227,0.9725877192982456,62,87,0.000968592707067728,8.718803405761719,heco_encoder__tau0.7__seed46.pt,adversarial_edge_editors_reinforce_variance,True
T2_ON,46,eerm_real_K4,4,1.0,0.05,0.0,,,0.6163426041603088,0.2825179994106293,0.9780701754385965,59,84,0.0003831950016319752,14.75060486793518,heco_encoder__tau0.7__seed46.pt,adversarial_edge_editors_reinforce_variance,True
T3_DiagnoseFrance,42,eerm_real_K2,2,1.0,0.05,0.0,1.0,0.7894736842105263,0.9997230172157288,0.6224972009658813,0.9107142857142857,53,78,6.19915063726495e-10,8.58893370628357,heco_encoder__tau0.7__seed42.pt,adversarial_edge_editors_reinforce_variance,True
T3_DiagnoseFrance,42,eerm_real_K4,4,1.0,0.05,0.0,1.0,0.5263157894736842,0.999925971031189,0.6445528864860535,0.9107142857142857,62,87,5.633973341900855e-05,18.241796255111694,heco_encoder__tau0.7__seed42.pt,adversarial_edge_editors_reinforce_variance,True
T3_DiagnoseFrance,43,eerm_real_K2,2,1.0,0.05,0.0,0.955,0.6,0.9999998807907104,0.6325578689575195,1.0,200,200,0.000156193389557302,34.87356948852539,heco_encoder__tau0.7__seed43.pt,adversarial_edge_editors_reinforce_variance,True
T3_DiagnoseFrance,43,eerm_real_K4,4,1.0,0.05,0.0,0.965,0.6,0.9999998807907104,0.6336365938186646,1.0,200,200,0.0006219588103704154,61.8205668926239,heco_encoder__tau0.7__seed43.pt,adversarial_edge_editors_reinforce_variance,True
T3_DiagnoseFrance,44,eerm_real_K2,2,1.0,0.05,0.0,0.945,0.85,0.9821027517318726,0.5662391185760498,1.0,200,200,1.4306569937616587e-05,33.7627055644989,heco_encoder__tau0.7__seed44.pt,adversarial_edge_editors_reinforce_variance,True
T3_DiagnoseFrance,44,eerm_real_K4,4,1.0,0.05,0.0,0.9750000000000001,0.8,0.9999996423721313,0.5951533913612366,1.0,200,200,0.000509209930896759,53.46893334388733,heco_encoder__tau0.7__seed44.pt,adversarial_edge_editors_reinforce_variance,True
T3_DiagnoseFrance,45,eerm_real_K2,2,1.0,0.05,0.0,0.962962962962963,0.8333333333333334,0.9999994039535522,0.5928575992584229,1.0,200,200,3.599987792313186e-07,32.99460816383362,heco_encoder__tau0.7__seed45.pt,adversarial_edge_editors_reinforce_variance,True
T3_DiagnoseFrance,45,eerm_real_K4,4,1.0,0.05,0.0,0.9320987654320988,0.7777777777777778,0.9999998807907104,0.5926536917686462,1.0,200,200,0.00017159685376100242,58.05418515205383,heco_encoder__tau0.7__seed45.pt,adversarial_edge_editors_reinforce_variance,True
T3_DiagnoseFrance,46,eerm_real_K2,2,1.0,0.05,0.0,0.99,0.85,0.999872088432312,0.5721246600151062,1.0,200,200,0.0002967816253658384,31.24698042869568,heco_encoder__tau0.7__seed46.pt,adversarial_edge_editors_reinforce_variance,True
T3_DiagnoseFrance,46,eerm_real_K4,4,1.0,0.05,0.0,1.0,0.75,0.9999572038650513,0.6477817296981812,1.0,200,200,5.604913894785568e-05,54.9935405254364,heco_encoder__tau0.7__seed46.pt,adversarial_edge_editors_reinforce_variance,True
