transfer_id,seed,tau_selected_by_source_val,tau_used_in_paper,same_choice,primary_at_selected_tau,primary_at_paper_tau,delta,source_val_auc_spread,primary_spread_across_tau
T1_Nordic,42,0.1,0.7,False,0.3548387096774194,0.3225806451612903,0.03225806451612906,0.0,0.09677419354838712
T2_ON,42,0.7,0.7,True,0.30277217138952867,0.30277217138952867,0.0,0.003289473684210509,0.046505818646433994
T2_PH,42,0.7,0.7,True,0.7916666666666667,0.7916666666666667,0.0,0.003289473684210509,0.22916666666666674
T3_DiagnoseFrance,42,0.1,0.7,False,0.6263157894736842,1.0,-0.37368421052631584,0.1071428571428571,0.37368421052631584
