transfer_id,config_id,primary_metric_direction,full_mean,config_mean,delta_config_minus_full,effect_full_minus_config_when_higher_is_better,n_pairs,is_posthoc
T1_Nordic,C1_full,higher_is_better,0.2064516129032258,0.2064516129032258,0.0,0.0,5,True
T1_Nordic,C2_no_cctld,higher_is_better,0.2064516129032258,0.2,-0.006451612903225804,0.006451612903225804,5,True
T1_Nordic,C3_no_website_lexical,higher_is_better,0.2064516129032258,0.045161290322580615,-0.16129032258064516,0.16129032258064516,5,True
T1_Nordic,C4_graph_only,higher_is_better,0.2064516129032258,0.045161290322580615,-0.16129032258064516,0.16129032258064516,5,True
T1_Nordic,C5_lex_only,higher_is_better,0.2064516129032258,0.3548387096774193,0.14838709677419354,-0.14838709677419354,5,True
T1_Nordic,C6_no_edges,higher_is_better,0.2064516129032258,0.3548387096774193,0.14838709677419354,-0.14838709677419354,5,True
T1_Nordic,C7_no_cert_edge,higher_is_better,0.2064516129032258,0.2387096774193548,0.03225806451612904,-0.03225806451612904,5,True
T1_Nordic,C8_no_registrar_edge,higher_is_better,0.2064516129032258,0.24516129032258066,0.03870967741935486,-0.03870967741935486,5,True
T1_Nordic,C9_infra_edges_only,higher_is_better,0.2064516129032258,0.2129032258064516,0.0064516129032258,-0.0064516129032258,5,True
T2_ON,C1_full,lower_is_better,0.30275969002754055,0.30275969002754055,0.0,0.0,5,True
T2_ON,C2_no_cctld,lower_is_better,0.30275969002754055,0.2952332848143072,-0.007526405213233295,-0.007526405213233295,5,True
T2_ON,C3_no_website_lexical,lower_is_better,0.30275969002754055,0.42606395696760957,0.1233042669400691,0.1233042669400691,5,True
T2_ON,C4_graph_only,lower_is_better,0.30275969002754055,0.42606395696760957,0.1233042669400691,0.1233042669400691,5,True
T2_ON,C5_lex_only,lower_is_better,0.30275969002754055,0.3225775591330603,0.019817869105519758,0.019817869105519758,5,True
T2_ON,C6_no_edges,lower_is_better,0.30275969002754055,0.3225775591330603,0.019817869105519758,0.019817869105519758,5,True
T2_ON,C7_no_cert_edge,lower_is_better,0.30275969002754055,0.3067061935945654,0.003946503567024917,0.003946503567024917,5,True
T2_ON,C8_no_registrar_edge,lower_is_better,0.30275969002754055,0.334955977694536,0.03219628766699549,0.03219628766699549,5,True
T2_ON,C9_infra_edges_only,lower_is_better,0.30275969002754055,0.30275969002754055,0.0,0.0,5,True
T2_PH,C1_full,higher_is_better,0.6416666666666666,0.6416666666666666,0.0,0.0,5,True
T2_PH,C2_no_cctld,higher_is_better,0.6416666666666666,0.6041666666666667,-0.03749999999999999,0.03749999999999999,5,True
T2_PH,C3_no_website_lexical,higher_is_better,0.6416666666666666,0.5979166666666667,-0.04374999999999997,0.04374999999999997,5,True
T2_PH,C4_graph_only,higher_is_better,0.6416666666666666,0.5979166666666667,-0.04374999999999997,0.04374999999999997,5,True
T2_PH,C5_lex_only,higher_is_better,0.6416666666666666,0.5520833333333333,-0.08958333333333333,0.08958333333333333,5,True
T2_PH,C6_no_edges,higher_is_better,0.6416666666666666,0.5520833333333333,-0.08958333333333333,0.08958333333333333,5,True
T2_PH,C7_no_cert_edge,higher_is_better,0.6416666666666666,0.5875,-0.05416666666666664,0.05416666666666664,5,True
T2_PH,C8_no_registrar_edge,higher_is_better,0.6416666666666666,0.725,0.08333333333333336,-0.08333333333333336,5,True
T2_PH,C9_infra_edges_only,higher_is_better,0.6416666666666666,0.6416666666666666,0.0,0.0,5,True
T3_DiagnoseFrance,C1_full,higher_is_better,0.9861234567901235,0.9861234567901235,0.0,0.0,5,True
T3_DiagnoseFrance,C2_no_cctld,higher_is_better,0.9861234567901235,0.9045877192982456,-0.08153573749187784,0.08153573749187784,5,True
T3_DiagnoseFrance,C3_no_website_lexical,higher_is_better,0.9861234567901235,0.7134294996751137,-0.2726939571150097,0.2726939571150097,5,True
T3_DiagnoseFrance,C4_graph_only,higher_is_better,0.9861234567901235,0.7134294996751137,-0.2726939571150097,0.2726939571150097,5,True
T3_DiagnoseFrance,C5_lex_only,higher_is_better,0.9861234567901235,0.9529987004548408,-0.0331247563352826,0.0331247563352826,5,True
T3_DiagnoseFrance,C6_no_edges,higher_is_better,0.9861234567901235,0.9529987004548408,-0.0331247563352826,0.0331247563352826,5,True
T3_DiagnoseFrance,C7_no_cert_edge,higher_is_better,0.9861234567901235,0.9154392462638077,-0.0706842105263158,0.0706842105263158,5,True
T3_DiagnoseFrance,C8_no_registrar_edge,higher_is_better,0.9861234567901235,0.9210526315789472,-0.06507082521117609,0.06507082521117609,5,True
T3_DiagnoseFrance,C9_infra_edges_only,higher_is_better,0.9861234567901235,0.9861234567901235,0.0,0.0,5,True
