seed,source_region,target_region,source_size,target_size,target_label_class_count,target_metric_name,target_quasi_metric,target_roc_auc,target_illegal_recall_at_youden,target_mean_pred_illegal,target_one_minus_mean_pred_illegal,threshold,logme_source,logme_cross,h_divergence,wasserstein,encoder_checkpoint
42,Belgium,Denmark,69,77,1,illegal_recall_at_youden,0.948051948051948,,0.948051948051948,0.5849353561618573,0.4150646438381427,0.5760843485679977,-3.204998486572231,-1.7379839916291857,0.10942528735632218,0.00392298557167867,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Belgium,France,69,72,2,roc_auc,0.703125,0.703125,0.7083333333333334,0.5767969181317367,0.4232030818682633,0.5760843485679977,-3.204998486572231,-2.016725440433563,0.3517241379310345,0.0024742358648942803,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Belgium,Germany,69,40,1,one_minus_mean_pred_illegal,0.42386712855519004,,,0.57613287144481,0.42386712855519004,0.5760843485679977,-3.204998486572231,-2.3083324384263317,0.5316017316017314,0.0025106485705189262,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Belgium,Italy,69,34,1,illegal_recall_at_youden,0.8529411764705882,,0.8529411764705882,0.587332715066506,0.412667284933494,0.5760843485679977,-3.204998486572231,-2.2723341681361644,0.6800000000000002,0.005066153207931565,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Belgium,Netherlands,69,5,1,illegal_recall_at_youden,0.6,,0.6,0.578875498463383,0.42112450153661696,0.5760843485679977,-3.204998486572231,-3.029062667601886,1.7295238095238097,0.004804076115411211,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Belgium,Ontario,69,58,1,one_minus_mean_pred_illegal,0.4235544227004573,,,0.5764455772995427,0.4235544227004573,0.5760843485679977,-3.204998486572231,-2.0958720851007477,0.17353846153846142,0.0025091307282623905,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Belgium,Philippines,69,33,2,roc_auc,0.6165413533834587,0.6165413533834587,0.8571428571428571,0.5807662261226713,0.41923377387732874,0.5760843485679977,-3.204998486572231,-2.8157219883695963,0.7066666666666666,0.003341749089659232,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Belgium,Spain,69,39,1,one_minus_mean_pred_illegal,0.42404456577289495,,,0.575955434227105,0.42404456577289495,0.5760843485679977,-3.204998486572231,-2.390920155917295,0.5558441558441558,0.003211272237686276,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Belgium,Sweden,69,27,1,one_minus_mean_pred_illegal,0.42073618438871707,,,0.5792638156112829,0.42073618438871707,0.5760843485679977,-3.204998486572231,-2.627318199489229,0.8757894736842102,0.003020100662514468,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Belgium,United Kingdom,69,39,1,one_minus_mean_pred_illegal,0.4201629088719737,,,0.5798370911280263,0.4201629088719737,0.5760843485679977,-3.204998486572231,-2.6345971216558355,0.5558441558441558,0.0026224517234178495,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,France,Belgium,72,69,2,roc_auc,0.9077586206896552,0.9077586206896552,0.9,0.657781644437546,0.34221835556245395,0.6559508219286189,-3.1724637281302117,-2.016725440433563,0.3527093596059112,0.0024742358648942803,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,France,Denmark,72,77,1,illegal_recall_at_youden,0.974025974025974,,0.974025974025974,0.6603209989653481,0.3396790010346519,0.6559508219286189,-3.1724637281302117,-1.8250552018692043,0.336551724137931,0.004624573119140446,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,France,Germany,72,40,1,one_minus_mean_pred_illegal,0.3433839186673415,,,0.6566160813326585,0.3433839186673415,0.6559508219286189,-3.1724637281302117,-2.4578452251930893,0.5707509881422923,0.0014812774324734208,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,France,Italy,72,34,1,illegal_recall_at_youden,0.9705882352941176,,0.9705882352941176,0.6608876204631003,0.33911237953689966,0.6559508219286189,-3.1724637281302117,-2.4388702435744873,0.7168831168831167,0.006142249049105042,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,France,Netherlands,72,5,1,illegal_recall_at_youden,0.8,,0.8,0.6591861079654263,0.3408138920345737,0.6559508219286189,-3.1724637281302117,-2.9992758513134867,1.7400000000000007,0.0033886458904711257,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,France,Ontario,72,58,1,one_minus_mean_pred_illegal,0.3428884592785555,,,0.6571115407214445,0.3428884592785555,0.6559508219286189,-3.1724637281302117,-2.182850575648393,0.21538461538461506,0.0014597308334687062,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,France,Philippines,72,33,2,roc_auc,0.6917293233082706,0.6917293233082706,0.8571428571428571,0.6587354975667351,0.3412645024332649,0.6559508219286189,-3.1724637281302117,-2.7277991419432364,0.7428571428571429,0.0029855245746499203,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,France,Spain,72,39,1,one_minus_mean_pred_illegal,0.344304036037932,,,0.655695963962068,0.344304036037932,0.6559508219286189,-3.1724637281302117,-2.362781516373531,0.594466403162055,0.002573611296494066,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,France,Sweden,72,27,1,one_minus_mean_pred_illegal,0.3419952198594326,,,0.6580047801405674,0.3419952198594326,0.6559508219286189,-3.1724637281302117,-2.6774387278747653,0.9094736842105267,0.0024354383643019504,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,France,United Kingdom,72,39,1,one_minus_mean_pred_illegal,0.3415286612819929,,,0.6584713387180071,0.3415286612819929,0.6559508219286189,-3.1724637281302117,-2.688002622962318,0.594466403162055,0.0021746817822374427,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Philippines,Belgium,33,69,2,roc_auc,0.4396551724137931,0.4396551724137931,0.0,0.42962616720291974,0.5703738327970802,0.5,-5.381688157321701,-2.8157219883695963,0.706666666666667,0.003341749089659232,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Philippines,Denmark,33,77,1,illegal_recall_at_youden,0.0,,0.0,0.4297870668556374,0.5702129331443626,0.5,-5.381688157321701,-2.499007531946072,0.7999999999999998,0.0031116876050777294,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Philippines,France,33,72,2,roc_auc,0.7647569444444445,0.7647569444444445,0.0,0.4304704385763008,0.5695295614236993,0.5,-5.381688157321701,-2.727799141943237,0.7428571428571429,0.0029855245746499203,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Philippines,Germany,33,40,1,one_minus_mean_pred_illegal,0.5697188309243144,,,0.43028116907568553,0.5697188309243144,0.5,-5.381688157321701,-3.411031140928284,0.1942857142857144,0.0033581508436581354,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Philippines,Italy,33,34,1,illegal_recall_at_youden,0.0,,0.0,0.42957248134833526,0.5704275186516647,0.5,-5.381688157321701,-3.570466850876639,0.2769230769230768,0.004521215356080754,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
42,Philippines,Netherlands,33,5,1,illegal_recall_at_youden,0.0,,0.0,0.4311533092319233,0.5688466907680767,0.5,-5.381688157321701,-5.076823373964579,1.4714285714285715,0.004085572268727058,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
