metric,aligned_rows,ordered_pairs,spearman_rho,spearman_p,kendall_tau,kendall_p
logme_cross,150,30,0.073313165276678,0.3726135634419879,0.04698083299539569,0.3944569849485954
h_divergence,150,30,-0.17421968627450626,0.03298783851936681,-0.1132516054848807,0.04041972445349639
wasserstein,150,30,-0.1057108390846217,0.1979312187411305,-0.07786504110352724,0.1583550005771457
